canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3|5.2,,^5.1|5.0,,^3,,^2,,^1,
18_c_total_non_federal_transfers_18a_18b,44,18(c) Total Non-Federal Transfers (18a+18b),44,18(c) Total Non-Federal Transfers (18a+18b),44,18(c) Total Non-Federal Transfers (18a+18b),44,18(c) Total Non-Federal Transfers (18a+18b),44,18(c) Total Non-Federal Transfers (18a+18b),44,18(c) Total Non-Federal Transfers (18a+18b),44,18(c) Total Non-Federal Transfers (18a+18b),44,18(c) Total Non-Federal Transfers (18a+18b),44,18(c) Total Non-Federal Transfers (18a+18b),44,18(c) Total Non-Federal Transfers (18a+18b),44,18(c) Total Non-Federal Transfers (18a+18b),44,18(c) Total Non-Federal Transfers (18a+18b),44,18(c) Total Non-Federal Transfers (18a+18b),44,18(c) Total Non-Federal Transfers (18a+18b),44,18(c) Total Non-Federal Transfers (18a+18b),44,18(c) Total Non-Federal Transfers (18a+18b),44,23. Contributions to Federal Candidates/Cmtes,44,23. Contributions to Federal Candidates/Cmtes,44,23. Contributions to Federal Candidates/Cmtes,44,s_23 Contributions to Federal Candidates/Cmtes,44,s_23. Contributions to Federal Candidates/Cmtes
19_total_receipts,45,19. Total Receipts,45,19. Total Receipts,45,19. Total Receipts,45,19. Total Receipts,45,19. Total Receipts,45,19. Total Receipts,45,19. Total Receipts,45,19. Total Receipts,45,19. Total Receipts,45,19. Total Receipts,45,19. Total Receipts,45,19. Total Receipts,45,19. Total Receipts,45,19. Total Receipts,45,19. Total Receipts,45,19. Total Receipts,45,24. Independent Expenditures,45,24. Independent Expenditures,45,24. Independent Expenditures,45,s_24 Independent expenditures,45,s_24. Independent expenditures
20_total_federal_receipts,46,20. Total Federal Receipts,46,20. Total Federal Receipts,46,20. Total Federal Receipts,46,20. Total Federal Receipts,46,20. Total Federal Receipts,46,20. Total Federal Receipts,46,20. Total Federal Receipts,46,20. Total Federal Receipts,46,20. Total Federal Receipts,46,20. Total Federal Receipts,46,20. Total Federal Receipts,46,20. Total Federal Receipts,46,20. Total Federal Receipts,46,20. Total Federal Receipts,46,20. Total Federal Receipts,46,20. Total Federal Receipts,46,25. Coordinated Expend made by Party Cmtes,46,25. Coordinated Expend made by Party Cmtes,46,25. Coordinated Expenditures made by Party Cmtes,46,s_25 Coordinated Expenditures made by party Cmtes,46,s_25. Coordinated Expenditures made by party Cmtes
21_a_i_federal_share,47,21(a)i  Federal Share,47,21(a)i  Federal Share,47,21(a)i  Federal Share,47,21(a)i  Federal Share,47,21(a)i  Federal Share,47,21(a)i  Federal Share,47,21(a)i  Federal Share,47,21(a)i  Federal Share,47,21(a)i  Federal Share,47,21(a)i  Federal Share,47,21(a)i  Federal Share,47,21(a)i  Federal Share,47,21(a)i  Federal Share,47,21(a)i  Federal Share,47,21(a)i  Federal Share,47,21(a)i  Federal Share,47,26. Loan Repayments,47,26. Loan Repayments,47,26. Loan Repayments,47,s_26 Loan repayments,47,s_26. Loan repayments
21_a_ii_non_federal_share,48,21(a)ii  Non-Federal Share,48,21(a)ii  Non-Federal Share,48,21(a)ii  Non-Federal Share,48,21(a)ii  Non-Federal Share,48,21(a)ii  Non-Federal Share,48,21(a)ii  Non-Federal Share,48,21(a)ii  Non-Federal Share,48,21(a)ii  Non-Federal Share,48,21(a)ii  Non-Federal Share,48,21(a)ii  Non-Federal Share,48,21(a)ii  Non-Federal Share,48,21(a)ii  Non-Federal Share,48,21(a)ii  Non-Federal Share,48,21(a)ii  Non-Federal Share,48,21(a)ii  Non-Federal Share,48,21(a)ii  Non-Federal Share,48,27. Loans Made,48,27. Loans Made,48,27. Loans Made,48,s_27 Loans Made,48,s_27. Loans Made
21_b_other_federal_operating_expenditures,49,21(b)  Other Federal Operating Expenditures,49,21(b)  Other Federal Operating Expenditures,49,21(b)  Other Federal Operating Expenditures,49,21(b)  Other Federal Operating Expenditures,49,21(b)  Other Federal Operating Expenditures,49,21(b)  Other Federal Operating Expenditures,49,21(b)  Other Federal Operating Expenditures,49,21(b)  Other Federal Operating Expenditures,49,21(b)  Other Federal Operating Expenditures,49,21(b)  Other Federal Operating Expenditures,49,21(b)  Other Federal Operating Expenditures,49,21(b)  Other Federal Operating Expenditures,49,21(b)  Other Federal Operating Expenditures,49,21(b)  Other Federal Operating Expenditures,49,21(b)  Other Federal Operating Expenditures,49,21(b)  Other Federal Operating Expenditures,49,28(a) Individuals/Persons,49,28(a) Individuals/Persons,49,28(a) Individuals/Persons,49,s_28(a) Individuals/Persons,49,s_28(a) Individuals/Persons
21_c_total_operating_expenditures,50,21(c)  Total Operating Expenditures,50,21(c)  Total Operating Expenditures,50,21(c)  Total Operating Expenditures,50,21(c)  Total Operating Expenditures,50,21(c)  Total Operating Expenditures,50,21(c)  Total Operating Expenditures,50,21(c)  Total Operating Expenditures,50,21(c)  Total Operating Expenditures,50,21(c)  Total Operating Expenditures,50,21(c)  Total Operating Expenditures,50,21(c)  Total Operating Expenditures,50,21(c)  Total Operating Expenditures,50,21(c)  Total Operating Expenditures,50,21(c)  Total Operating Expenditures,50,21(c)  Total Operating Expenditures,50,21(c)  Total Operating Expenditures,50,28(b) Political Party Committees,50,28(b) Political Party Committees,50,28(b) Political Party Committees,50,s_28(b) Political Party Committees,50,s_28(b) Political Party Committees
22_transfers_to_affiliated_other_party_cmtes,51,22. Transfers to Affiliated/Other Party Cmtes,51,22. Transfers to Affiliated/Other Party Cmtes,51,22. Transfers to Affiliated/Other Party Cmtes,51,22. Transfers to Affiliated/Other Party Cmtes,51,22. Transfers to Affiliated/Other Party Cmtes,51,22. Transfers to Affiliated/Other Party Cmtes,51,22. Transfers to Affiliated/Other Party Cmtes,51,22. Transfers to Affiliated/Other Party Cmtes,51,22. Transfers to Affiliated/Other Party Cmtes,51,22. Transfers to Affiliated/Other Party Cmtes,51,22. Transfers to Affiliated/Other Party Cmtes,51,22. Transfers to Affiliated/Other Party Cmtes,51,22. Transfers to Affiliated/Other Party Cmtes,51,22. Transfers to Affiliated/Other Party Cmtes,51,22. Transfers to Affiliated/Other Party Cmtes,51,22. Transfers to Affiliated/Other Party Cmtes,51,28(c) Other Political Committees,51,28(c) Other Political Committees,51,28(c) Other Political Committees,51,s_28(c) Other Political Committees,51,s_28(c) Other Political Committees
23_contributions_to_federal_candidates_cmtes,52,23. Contributions to Federal Candidates/Cmtes,52,23. Contributions to Federal Candidates/Cmtes,52,23. Contributions to Federal Candidates/Cmtes,52,23. Contributions to Federal Candidates/Cmtes,52,23. Contributions to Federal Candidates/Cmtes,52,23. Contributions to Federal Candidates/Cmtes,52,23. Contributions to Federal Candidates/Cmtes,52,23. Contributions to Federal Candidates/Cmtes,52,23. Contributions to Federal Candidates/Cmtes,52,23. Contributions to Federal Candidates/Cmtes,52,23. Contributions to Federal Candidates/Cmtes,52,23. Contributions to Federal Candidates/Cmtes,52,23. Contributions to Federal Candidates/Cmtes,52,23. Contributions to Federal Candidates/Cmtes,52,23. Contributions to Federal Candidates/Cmtes,52,23. Contributions to Federal Candidates/Cmtes,52,28(d) Total Contributions Refunds,52,28(d) Total Contributions Refunds,52,28(d) Total Contributions Refunds,52,s_28(d) Total contributions refunds,52,s_28(d) Total contributions refunds
24_independent_expenditures,53,24. Independent Expenditures,53,24. Independent Expenditures,53,24. Independent Expenditures,53,24. Independent Expenditures,53,24. Independent Expenditures,53,24. Independent Expenditures,53,24. Independent Expenditures,53,24. Independent Expenditures,53,24. Independent Expenditures,53,24. Independent Expenditures,53,24. Independent Expenditures,53,24. Independent Expenditures,53,24. Independent Expenditures,53,24. Independent Expenditures,53,24. Independent Expenditures,53,24. Independent Expenditures,53,29. Other Disbursements,53,29. Other Disbursements,53,29. Other Disbursements,53,s_29 Other disbursements,53,s_29. Other disbursements
25_coordinated_expend_made_by_party_cmtes,54,25. Coordinated Expend made by Party Cmtes,54,25. Coordinated Expend made by Party Cmtes,54,25. Coordinated Expend made by Party Cmtes,54,25. Coordinated Expend made by Party Cmtes,54,25. Coordinated Expend made by Party Cmtes,54,25. Coordinated Expend made by Party Cmtes,54,25. Coordinated Expend made by Party Cmtes,54,25. Coordinated Expend made by Party Cmtes,54,25. Coordinated Expend made by Party Cmtes,54,25. Coordinated Expend made by Party Cmtes,54,25. Coordinated Expend made by Party Cmtes,54,25. Coordinated Expend made by Party Cmtes,54,25. Coordinated Expend made by Party Cmtes,54,25. Coordinated Expend made by Party Cmtes,54,25. Coordinated Expend made by Party Cmtes,54,25. Coordinated Expend made by Party Cmtes,54,31. Total Disbursements,54,31. Total Disbursements,54,30. Total Disbursements,54,s_30 Total disbursements,54,s_30. Total disbursements
26_loan_repayments,55,26. Loan Repayments,55,26. Loan Repayments,55,26. Loan Repayments,55,26. Loan Repayments,55,26. Loan Repayments,55,26. Loan Repayments,55,26. Loan Repayments,55,26. Loan Repayments,55,26. Loan Repayments,55,26. Loan Repayments,55,26. Loan Repayments,55,26. Loan Repayments,55,26. Loan Repayments,55,26. Loan Repayments,55,26. Loan Repayments,55,26. Loan Repayments,55,32. Total Federal Disbursements,55,32. Total Federal Disbursements,55,31. Total Federal Disbursements,55,s_31 Total Federal Disbursements,55,s_31. Total Federal Disbursements
27_loans_made,56,27. Loans Made,56,27. Loans Made,56,27. Loans Made,56,27. Loans Made,56,27. Loans Made,56,27. Loans Made,56,27. Loans Made,56,27. Loans Made,56,27. Loans Made,56,27. Loans Made,56,27. Loans Made,56,27. Loans Made,56,27. Loans Made,56,27. Loans Made,56,27. Loans Made,56,27. Loans Made,56,33. Total Contributions,56,33. Total Contributions,56,32. Total Contributions,56,s_32 Total contributions,56,s_32. Total contributions
28_a_individuals_persons,57,28(a) Individuals/Persons,57,28(a) Individuals/Persons,57,28(a) Individuals/Persons,57,28(a) Individuals/Persons,57,28(a) Individuals/Persons,57,28(a) Individuals/Persons,57,28(a) Individuals/Persons,57,28(a) Individuals/Persons,57,28(a) Individuals/Persons,57,28(a) Individuals/Persons,57,28(a) Individuals/Persons,57,28(a) Individuals/Persons,57,28(a) Individuals/Persons,57,28(a) Individuals/Persons,57,28(a) Individuals/Persons,57,28(a) Individuals/Persons,57,34. Total Contribution Refunds,57,34. Total Contribution Refunds,57,33. Total Contribution Refunds,57,s_33 Total Contribution Refunds,57,s_33. Total Contribution Refunds
28_b_political_party_committees,58,28(b) Political Party Committees,58,28(b) Political Party Committees,58,28(b) Political Party Committees,58,28(b) Political Party Committees,58,28(b) Political Party Committees,58,28(b) Political Party Committees,58,28(b) Political Party Committees,58,28(b) Political Party Committees,58,28(b) Political Party Committees,58,28(b) Political Party Committees,58,28(b) Political Party Committees,58,28(b) Political Party Committees,58,28(b) Political Party Committees,58,28(b) Political Party Committees,58,28(b) Political Party Committees,58,28(b) Political Party Committees,58,35. Net Contributions,58,35. Net Contributions,58,34. Net Contributions,58,s_34 Net Contributions,58,s_34. Net Contributions
28_c_other_political_committees,59,28(c) Other Political Committees,59,28(c) Other Political Committees,59,28(c) Other Political Committees,59,28(c) Other Political Committees,59,28(c) Other Political Committees,59,28(c) Other Political Committees,59,28(c) Other Political Committees,59,28(c) Other Political Committees,59,28(c) Other Political Committees,59,28(c) Other Political Committees,59,28(c) Other Political Committees,59,28(c) Other Political Committees,59,28(c) Other Political Committees,59,28(c) Other Political Committees,59,28(c) Other Political Committees,59,28(c) Other Political Committees,59,36. Total Federal Operating Expenditures,59,36. Total Federal Operating Expenditures,59,35. Total Federal Operating Expenditures,59,s_35 Total Federal Operating Expenditures,59,s_35. Total Federal Operating Expenditures
28_d_total_contributions_refunds,60,28(d) Total Contributions Refunds,60,28(d) Total Contributions Refunds,60,28(d) Total Contributions Refunds,60,28(d) Total Contributions Refunds,60,28(d) Total Contributions Refunds,60,28(d) Total Contributions Refunds,60,28(d) Total Contributions Refunds,60,28(d) Total Contributions Refunds,60,28(d) Total Contributions Refunds,60,28(d) Total Contributions Refunds,60,28(d) Total Contributions Refunds,60,28(d) Total Contributions Refunds,60,28(d) Total Contributions Refunds,60,28(d) Total Contributions Refunds,60,28(d) Total Contributions Refunds,60,28(d) Total Contributions Refunds,60,37. Offsets to Operating Expenditures,60,37. Offsets to Operating Expenditures,60,36. Offsets to Operating Expenditures,60,s_36 Offsets to operating Expenditures,60,s_36. Offsets to operating Expenditures
29_other_disbursements,61,29. Other Disbursements,61,29. Other Disbursements,61,29. Other Disbursements,61,29. Other Disbursements,61,29. Other Disbursements,61,29. Other Disbursements,61,29. Other Disbursements,61,29. Other Disbursements,61,29. Other Disbursements,61,29. Other Disbursements,61,29. Other Disbursements,61,29. Other Disbursements,61,29. Other Disbursements,61,29. Other Disbursements,61,29. Other Disbursements,61,29. Other Disbursements,61,38. Net Operating Expenditures,61,38. Net Operating Expenditures,61,37. Net Operating Expenditures,61,s_37 Net operating Expenditures,61,s_37. Net operating Expenditures
30_a_i_shared_federal_activity_h6_fed_share,62,30(a)i  Shared Federal Activity (H6) Fed Share,62,30(a)i  Shared Federal Activity (H6) Fed Share,62,30(a)i  Shared Federal Activity (H6) Fed Share,62,30(a)i  Shared Federal Activity (H6) Fed Share,62,30(a)i  Shared Federal Activity (H6) Fed Share,62,30(a)i  Shared Federal Activity (H6) Fed Share,62,30(a)i  Shared Federal Activity (H6) Fed Share,62,30(a)i  Shared Federal Activity (H6) Fed Share,62,30(a)i  Shared Federal Activity (H6) Fed Share,62,30(a)i  Shared Federal Activity (H6) Fed Share,62,30(a)i  Shared Federal Activity (H6) Fed Share,62,30(a)i  Shared Federal Activity (H6) Fed Share,62,30(a)i  Shared Federal Activity (H6) Fed Share,62,30(a)i  Shared Federal Activity (H6) Fed Share,62,30(a)i  Shared Federal Activity (H6) Fed Share,62,30(a)i  Shared Federal Activity (H6) Fed Share,62, 6(a) Cash on Hand Jan 1, 19,62, 6(a) Cash on Hand Jan 1, 19,62, 6(a) Cash on Hand Jan 1, 19,62,62-6(a) cash on hand Jan 1, 19,62,62-6(a) cash on hand Jan 1, 19
30_a_ii_shared_federal_activity_h6_non_fed,63,30(a)ii Shared Federal Activity (H6) Non-Fed,63,30(a)ii Shared Federal Activity (H6) Non-Fed,63,30(a)ii Shared Federal Activity (H6) Non-Fed,63,30(a)ii Shared Federal Activity (H6) Non-Fed,63,30(a)ii Shared Federal Activity (H6) Non-Fed,63,30(a)ii Shared Federal Activity (H6) Non-Fed,63,30(a)ii Shared Federal Activity (H6) Non-Fed,63,30(a)ii Shared Federal Activity (H6) Non-Fed,63,30(a)ii Shared Federal Activity (H6) Non-Fed,63,30(a)ii Shared Federal Activity (H6) Non-Fed,63,30(a)ii Shared Federal Activity (H6) Non-Fed,63,30(a)ii Shared Federal Activity (H6) Non-Fed,63,30(a)ii Shared Federal Activity (H6) Non-Fed,63,30(a)ii Shared Federal Activity (H6) Non-Fed,63,30(a)ii Shared Federal Activity (H6) Non-Fed,63,30(a)ii Shared Federal Activity (H6) Non-Fed,63,Year for Above,63,Year for Above,63,Year for Above,63,Year for above,63,Year for above
30_b_non_allocable_100_fed_election_activity,64,30(b) Non-Allocable 100% Fed Election Activity,64,30(b) Non-Allocable 100% Fed Election Activity,64,30(b) Non-Allocable 100% Fed Election Activity,64,30(b) Non-Allocable 100% Fed Election Activity,64,30(b) Non-Allocable 100% Fed Election Activity,64,30(b) Non-Allocable 100% Fed Election Activity,64,30(b) Non-Allocable 100% Fed Election Activity,64,30(b) Non-Allocable 100% Fed Election Activity,64,30(b) Non-Allocable 100% Fed Election Activity,64,30(b) Non-Allocable 100% Fed Election Activity,64,30(b) Non-Allocable 100% Fed Election Activity,64,30(b) Non-Allocable 100% Fed Election Activity,64,30(b) Non-Allocable 100% Fed Election Activity,64,30(b) Non-Allocable 100% Fed Election Activity,64,30(b) Non-Allocable 100% Fed Election Activity,64,30(b) Non-Allocable 100% Fed Election Activity,64,6(c) Total Receipts,64,6(c) Total Receipts,64,6(c) Total Receipts,64,s_6(c) total receipts,64,s_6(c) total receipts
30_c_total_federal_election_activity,65,30(c) Total Federal Election Activity,65,30(c) Total Federal Election Activity,65,30(c) Total Federal Election Activity,65,30(c) Total Federal Election Activity,65,30(c) Total Federal Election Activity,65,30(c) Total Federal Election Activity,65,30(c) Total Federal Election Activity,65,30(c) Total Federal Election Activity,65,30(c) Total Federal Election Activity,65,30(c) Total Federal Election Activity,65,30(c) Total Federal Election Activity,65,30(c) Total Federal Election Activity,65,30(c) Total Federal Election Activity,65,30(c) Total Federal Election Activity,65,30(c) Total Federal Election Activity,65,30(c) Total Federal Election Activity,65,6(d) Subtotal,65,6(d) Subtotal,65,6(d) Subtotal,65,s_6(d) subtotal,65,s_6(d) subtotal
31_total_disbursements,66,31. Total Disbursements,66,31. Total Disbursements,66,31. Total Disbursements,66,31. Total Disbursements,66,31. Total Disbursements,66,31. Total Disbursements,66,31. Total Disbursements,66,31. Total Disbursements,66,31. Total Disbursements,66,31. Total Disbursements,66,31. Total Disbursements,66,31. Total Disbursements,66,31. Total Disbursements,66,31. Total Disbursements,66,31. Total Disbursements,66,31. Total Disbursements,66,7. Total disbursements,66,7. Total disbursements,66,7. Total disbursements,66,s_7 Total disbursements,66,s_7. Total disbursements
32_total_federal_disbursements,67,32. Total Federal Disbursements,67,32. Total Federal Disbursements,67,32. Total Federal Disbursements,67,32. Total Federal Disbursements,67,32. Total Federal Disbursements,67,32. Total Federal Disbursements,67,32. Total Federal Disbursements,67,32. Total Federal Disbursements,67,32. Total Federal Disbursements,67,32. Total Federal Disbursements,67,32. Total Federal Disbursements,67,32. Total Federal Disbursements,67,32. Total Federal Disbursements,67,32. Total Federal Disbursements,67,32. Total Federal Disbursements,67,32. Total Federal Disbursements,67,8. Cash on Hand Close,67,8. Cash on Hand Close,67,8. Cash on Hand Close,67,s_8 Cash on Hand Close,67,s_8. Cash on Hand Close
33_total_contributions,68,33. Total Contributions,68,33. Total Contributions,68,33. Total Contributions,68,33. Total Contributions,68,33. Total Contributions,68,33. Total Contributions,68,33. Total Contributions,68,33. Total Contributions,68,33. Total Contributions,68,33. Total Contributions,68,33. Total Contributions,68,33. Total Contributions,68,33. Total Contributions,68,33. Total Contributions,68,33. Total Contributions,68,33. Total Contributions,68,11(a)i Itemized,68,11(a)i Itemized,68,11(a)i Itemized,68,s_11(a)i itemized,68,s_11(a)i itemized
34_total_contribution_refunds,69,34. Total Contribution Refunds,69,34. Total Contribution Refunds,69,34. Total Contribution Refunds,69,34. Total Contribution Refunds,69,34. Total Contribution Refunds,69,34. Total Contribution Refunds,69,34. Total Contribution Refunds,69,34. Total Contribution Refunds,69,34. Total Contribution Refunds,69,34. Total Contribution Refunds,69,34. Total Contribution Refunds,69,34. Total Contribution Refunds,69,34. Total Contribution Refunds,69,34. Total Contribution Refunds,69,34. Total Contribution Refunds,69,34. Total Contribution Refunds,69,11(a)ii Unitemized,69,11(a)ii Unitemized,69,11(a)ii Unitemized,69,s_11(a)ii unitemized,69,s_11(a)ii unitemized
35_net_contributions,70,35. Net Contributions,70,35. Net Contributions,70,35. Net Contributions,70,35. Net Contributions,70,35. Net Contributions,70,35. Net Contributions,70,35. Net Contributions,70,35. Net Contributions,70,35. Net Contributions,70,35. Net Contributions,70,35. Net Contributions,70,35. Net Contributions,70,35. Net Contributions,70,35. Net Contributions,70,35. Net Contributions,70,35. Net Contributions,70,11(a)iii Total,70,11(a)iii Total,70,11(a)iii Total,70,s_11(a)iii Total,70,s_11(a)iii Total
36_total_federal_operating_expenditures,71,36. Total Federal Operating Expenditures,71,36. Total Federal Operating Expenditures,71,36. Total Federal Operating Expenditures,71,36. Total Federal Operating Expenditures,71,36. Total Federal Operating Expenditures,71,36. Total Federal Operating Expenditures,71,36. Total Federal Operating Expenditures,71,36. Total Federal Operating Expenditures,71,36. Total Federal Operating Expenditures,71,36. Total Federal Operating Expenditures,71,36. Total Federal Operating Expenditures,71,36. Total Federal Operating Expenditures,71,36. Total Federal Operating Expenditures,71,36. Total Federal Operating Expenditures,71,36. Total Federal Operating Expenditures,71,36. Total Federal Operating Expenditures,71,11(b) Political Party committees,71,11(b) Political Party committees,71,11(b) Political Party committees,71,s_11(b) Political Party committees,71,s_11(b) Politial Party committees
37_offsets_to_operating_expenditures,72,37. Offsets to Operating Expenditures,72,37. Offsets to Operating Expenditures,72,37. Offsets to Operating Expenditures,72,37. Offsets to Operating Expenditures,72,37. Offsets to Operating Expenditures,72,37. Offsets to Operating Expenditures,72,37. Offsets to Operating Expenditures,72,37. Offsets to Operating Expenditures,72,37. Offsets to Operating Expenditures,72,37. Offsets to Operating Expenditures,72,37. Offsets to Operating Expenditures,72,37. Offsets to Operating Expenditures,72,37. Offsets to Operating Expenditures,72,37. Offsets to Operating Expenditures,72,37. Offsets to Operating Expenditures,72,37. Offsets to Operating Expenditures,72,11(c) Other Political Committees  (PACs),72,11(c) Other Political Committees  (PACs),72,11(c) Other Political Committees  (PACs),72,s_11(c) Other Political Committees (PACs),72,s_11(c) Other Political Committees(PACs)
38_net_operating_expenditures,73,38. Net Operating Expenditures,73,38. Net Operating Expenditures,73,38. Net Operating Expenditures,73,38. Net Operating Expenditures,73,38. Net Operating Expenditures,73,38. Net Operating Expenditures,73,38. Net Operating Expenditures,73,38. Net Operating Expenditures,73,38. Net Operating Expenditures,73,38. Net Operating Expenditures,73,38. Net Operating Expenditures,73,38. Net Operating Expenditures,73,38. Net Operating Expenditures,73,38. Net Operating Expenditures,73,38. Net Operating Expenditures,73,38. Net Operating Expenditures,73,11(d) Total Contributions,73,11(d) Total Contributions,73,11(d) Total Contributions,73,s_11(d) Total contributions,73,s_11(d) Total contributions
6_a_cash_on_hand_jan_1_19,74, 6(a) Cash on Hand Jan 1, 19,74, 6(a) Cash on Hand Jan 1, 19,74, 6(a) Cash on Hand Jan 1, 19,74, 6(a) Cash on Hand Jan 1, 19,74, 6(a) Cash on Hand Jan 1, 19,74, 6(a) Cash on Hand Jan 1, 19,74, 6(a) Cash on Hand Jan 1, 19,74, 6(a) Cash on Hand Jan 1, 19,74, 6(a) Cash on Hand Jan 1, 19,74, 6(a) Cash on Hand Jan 1, 19,74, 6(a) Cash on Hand Jan 1, 19,74, 6(a) Cash on Hand Jan 1, 19,74, 6(a) Cash on Hand Jan 1, 19,74, 6(a) Cash on Hand Jan 1, 19,74, 6(a) Cash on Hand Jan 1, 19,74, 6(a) Cash on Hand Jan 1, 19,74,12. Transfers from Affiliated/Other Party Cmtes,74,12. Transfers from Affiliated/Other Party Cmtes,74,12. Transfers from Affiliated/Other Party Cmtes,74,s_12 Transfers from Affiliated/Other Party Cmtes,74,s_12. Transfers from Affiliated/Other Party Cmtes
year_for_above,75,Year for Above,75,Year for Above,75,Year for Above,75,Year for Above,75,Year for Above,75,Year for Above,75,Year for Above,75,Year for Above,75,Year for Above,75,Year for Above,75,Year for Above,75,Year for Above,75,Year for Above,75,Year for Above,75,Year for Above,75,Year for Above,75,13. All Loans Received,75,13. All Loans Received,75,13. All Loans Received,75,s_13 All loans Received,75,s_13. All loans Received
6_c_total_receipts,76,6(c) Total Receipts,76,6(c) Total Receipts,76,6(c) Total Receipts,76,6(c) Total Receipts,76,6(c) Total Receipts,76,6(c) Total Receipts,76,6(c) Total Receipts,76,6(c) Total Receipts,76,6(c) Total Receipts,76,6(c) Total Receipts,76,6(c) Total Receipts,76,6(c) Total Receipts,76,6(c) Total Receipts,76,6(c) Total Receipts,76,6(c) Total Receipts,76,6(c) Total Receipts,76,14. Loan Repayments Received,76,14. Loan Repayments Received,76,14. Loan Repayments Received,76,s_14 loan repayments received,76,s_14. loan repayments received
6_d_subtotal,77,6(d) Subtotal,77,6(d) Subtotal,77,6(d) Subtotal,77,6(d) Subtotal,77,6(d) Subtotal,77,6(d) Subtotal,77,6(d) Subtotal,77,6(d) Subtotal,77,6(d) Subtotal,77,6(d) Subtotal,77,6(d) Subtotal,77,6(d) Subtotal,77,6(d) Subtotal,77,6(d) Subtotal,77,6(d) Subtotal,77,6(d) Subtotal,77,15. Offsets to Operating Expenditures (refunds),77,15. Offsets to Operating Expenditures (refunds),77,15. Offsets to Operating Expenditures (refunds),77,s_15 offsets to Operating Expenditures (refunds),77,s_15. offsets to Operating Expenditures (refunds)
7_total_disbursements,78,7. Total disbursements,78,7. Total disbursements,78,7. Total disbursements,78,7. Total disbursements,78,7. Total disbursements,78,7. Total disbursements,78,7. Total disbursements,78,7. Total disbursements,78,7. Total disbursements,78,7. Total disbursements,78,7. Total disbursements,78,7. Total disbursements,78,7. Total disbursements,78,7. Total disbursements,78,7. Total disbursements,78,7. Total disbursements,78,16. Refunds of Federal Contributions,78,16. Refunds of Federal Contributions,78,16. Refunds of Federal Contributions,78,s_16 Refunds of Federal contributions,78,s_16. Refunds of Federal contributions
8_cash_on_hand_close,79,8. Cash on Hand Close,79,8. Cash on Hand Close,79,8. Cash on Hand Close,79,8. Cash on Hand Close,79,8. Cash on Hand Close,79,8. Cash on Hand Close,79,8. Cash on Hand Close,79,8. Cash on Hand Close,79,8. Cash on Hand Close,79,8. Cash on Hand Close,79,8. Cash on Hand Close,79,8. Cash on Hand Close,79,8. Cash on Hand Close,79,8. Cash on Hand Close,79,8. Cash on Hand Close,79,8. Cash on Hand Close,79,17. Other Federal Receipts (dividends),79,17. Other Federal Receipts (dividends),79,17. Other Federal Receipts (dividends),79,s_17 Other Federal Receipts (dividends),79,s_17. Other Federal Receipts (dividends)
11_a_i_itemized,80,11(a)i  Itemized,80,11(a)i  Itemized,80,11(a)i  Itemized,80,11(a)i  Itemized,80,11(a)i  Itemized,80,11(a)i  Itemized,80,11(a)i  Itemized,80,11(a)i  Itemized,80,11(a)i  Itemized,80,11(a)i  Itemized,80,11(a)i  Itemized,80,11(a)i  Itemized,80,11(a)i  Itemized,80,11(a)i  Itemized,80,11(a)i  Itemized,80,11(a)i  Itemized,80,18(a) Transfers from Nonfederal Account (H3),80,18(a) Transfers from Nonfederal Account (H3),80,18. Transfers from Nonfederal Account,80,s_18 transfers from Nonfederal Account,80,s_18. transfers from Nonfederal Account
11_a_ii_unitemized,81,11(a)ii  Unitemized,81,11(a)ii  Unitemized,81,11(a)ii  Unitemized,81,11(a)ii  Unitemized,81,11(a)ii  Unitemized,81,11(a)ii  Unitemized,81,11(a)ii  Unitemized,81,11(a)ii  Unitemized,81,11(a)ii  Unitemized,81,11(a)ii  Unitemized,81,11(a)ii  Unitemized,81,11(a)ii  Unitemized,81,11(a)ii  Unitemized,81,11(a)ii  Unitemized,81,11(a)ii  Unitemized,81,11(a)ii  Unitemized,81,19. Total Receipts,81,19. Total Receipts,81,19. Total Receipts,81,s_19 Total receipts,81,s_19. Total receipts
11_a_iii_total,82,11(a)iii Total,82,11(a)iii Total,82,11(a)iii Total,82,11(a)iii Total,82,11(a)iii Total,82,11(a)iii Total,82,11(a)iii Total,82,11(a)iii Total,82,11(a)iii Total,82,11(a)iii Total,82,11(a)iii Total,82,11(a)iii Total,82,11(a)iii Total,82,11(a)iii Total,82,11(a)iii Total,82,11(a)iii Total,82,20. Total Federal Receipts,82,20. Total Federal Receipts,82,20. Total Federal Receipts,82,s_20 Total federal receipts,82,s_20 Total federal receipts
