canonical,^8.0|7.0,,^6.4,,^6.3|6.2|6.1,,^6.3|6.2,,^5.3|5.2|5.1|5.0,,^5.3|5.2|5.1,,^5.3|5.2|5.0,,^5.3|5.2,,^3,,^2,,^1,
11_e_total_contributions,75,11(e) Total Contributions,75,11(e) Total Contributions,75,(7c) NET Operating Expenditures.,75,(7c) NET Operating Expenditures.,75,13(a) Loans made or guarn. by the Candidate,75,13(a) Loans made or guarn. by the Candidate,75,13(a) Loans made or guarn. by the Candidate,75,13(a) Loans made or guarn. by the Candidate,75,13(a) Loans made or guarn. by the Candidate,75,s_12Transfers From Other AUTH Committees,75,s_13(a) Loans made or guarn. by the Candidate
12_transfers_from_other_auth_committees,76,12. Transfers From Other AUTH Committees,76,12. Transfers From Other AUTH Committees,76,11(a i.) Individuals Itemized,76,11(a i.) Individuals Itemized,76,13(b) All Other Loans,76,13(b) All Other Loans,76,13(b) All Other Loans,76,13(b) All Other Loans,76,13(b) All Other Loans,76,s_13(a) Loans made or guarnby the Candidate,76,s_13(b) All Other Loans
13_a_loans_made_or_guarn_by_the_candidate,77,13(a) Loans made or guarn. by the Candidate,77,13(a) Loans made or guarn. by the Candidate,77,11(a.ii) Individuals Unitemized,77,11(a.ii) Individuals Unitemized,77,13(c) Total Loans,77,13(c) Total Loans,77,13(c) Total Loans,77,13(c) Total Loans,77,13(c) Total Loans,77,s_13(b) All Other Loans,77,s_13(c) Total Loans
13_b_all_other_loans,78,13(b) All Other Loans,78,13(b) All Other Loans,78,11(a.iii) Individuals Total,78,11(a.iii) Individuals Total,78,14. Offsets to Operating Expenditures,78,14. Offsets to Operating Expenditures,78,14. Offsets to Operating Expenditures,78,14. Offsets to Operating Expenditures,78,14. Offsets to Operating Expenditures,78,s_13(c) Total Loans,78,s_14 Offsets to Operating Expenditures
13_c_total_loans,79,13(c) Total Loans,79,13(c) Total Loans,79,11(b) Political Party Committees,79,11(b) Political Party Committees,79,15. Other Receipts,79,15. Other Receipts,79,15. Other Receipts,79,15. Other Receipts,79,15. Other Receipts,79,s_14Offsets to Operating Expenditures,79,s_15 Other Receipts
14_offsets_to_operating_expenditures,80,14. Offsets to Operating Expenditures,80,14. Offsets to Operating Expenditures,80,11(c) All Other Political Committees (PACS),80,11(c) All Other Political Committees (PACS),80,16. Total Receipts,80,16. Total Receipts,80,16. Total Receipts,80,16. Total Receipts,80,16. Total Receipts,80,s_15Other Receipts,80,s_16. Total Receipts
15_other_receipts,81,15. Other Receipts,81,15. Other Receipts,81,11(d) The Candidate,81,11(d) The Candidate,81,17 Operating Expenditures,81,17 Operating Expenditures,81,17 Operating Expenditures,81,17 Operating Expenditures,81,17 Operating Expenditures,81,s_16Total Receipts,81,s_17 Operating Expenditures
16_total_receipts,82,16. Total Receipts,82,16. Total Receipts,82,11(e) Total Contributions,82,11(e) Total Contributions,82,18. Transfers To Other AUTH Committees,82,18. Transfers To Other AUTH Committees,82,18. Transfers To Other AUTH Committees,82,18. Transfers To Other AUTH Committees,82,18. Transfers To Other AUTH Committees,82,s_17 Operating Expenditures,82,s_18 Transfers To Other AUTH Committees
17_operating_expenditures,83,17 Operating Expenditures,83,17 Operating Expenditures,83,12. Transfers From Other AUTH Committees,83,12. Transfers From Other AUTH Committees,83,19(a) Loan Repayment By Candidate,83,19(a) Loan Repayment By Candidate,83,19(a) Loan Repayment By Candidate,83,19(a) Loan Repayment By Candidate,83,19(a) Loan Repayment By Candidate,83,s_18Transfers To Other AUTH Committees,83,s_19(a) Loan Repayment to Candidate
18_transfers_to_other_auth_committees,84,18. Transfers To Other AUTH Committees,84,18. Transfers To Other AUTH Committees,84,13(a) Loans made or guarn. by the Candidate,84,13(a) Loans made or guarn. by the Candidate,84,19(b) Loan Repayments,  ALL Other Loans,84,19(b) Loan Repayments,  ALL Other Loans,84,19(b) Loan Repayments,  ALL Other Loans,84,19(b) Loan Repayments,  ALL Other Loans,84,19(b) Loan Repayments,  ALL Other Loans,84,s_19(a) Loan Repayment By Candidate,84,84-19(b) Loan Repayments, ALL Other Loans
19_a_loan_repayment_by_candidate,85,19(a) Loan Repayment By Candidate,85,19(a) Loan Repayment By Candidate,85,13(b) All Other Loans,85,13(b) All Other Loans,85,19(c) Total Loan Repayments,85,19(c) Total Loan Repayments,85,19(c) Total Loan Repayments,85,19(c) Total Loan Repayments,85,19(c) Total Loan Repayments,85,85-19(b) Loan Repayments,ALL Other Loans,85,s_19(c) Total Loan Repayments
19_b_loan_repayments_all_other_loans,86,19(b) Loan Repayments,  ALL Other Loans,86,19(b) Loan Repayments,  ALL Other Loans,86,13(c) Total Loans,86,13(c) Total Loans,86,20(a) Refund/Individuals Other than Pol. Cmtes,86,20(a) Refund/Individuals Other than Pol. Cmtes,86,20(a) Refund/Individuals Other than Pol. Cmtes,86,20(a) Refund/Individuals Other than Pol. Cmtes,86,20(a) Refund/Individuals Other than Pol. Cmtes,86,s_19(c) Total Loan Repayments,86,s_20(a) Refund/Individuals Other than Pol Cmtes
19_c_total_loan_repayments,87,19(c) Total Loan Repayments,87,19(c) Total Loan Repayments,87,14. Offsets to Operating Expenditures,87,14. Offsets to Operating Expenditures,87,20(b) Refund, Political Party Committees,87,20(b) Refund, Political Party Committees,87,20(b) Refund, Political Party Committees,87,20(b) Refund, Political Party Committees,87,20(b) Refund, Political Party Committees,87,s_20(a) Refund/Individuals Other than PolCmtes,87,87-20(b) Refund, Political Party Committees
20_a_refund_individuals_other_than_pol_cmtes,88,20(a) Refund/Individuals Other than Pol. Cmtes,88,20(a) Refund/Individuals Other than Pol. Cmtes,88,15. Other Receipts,88,15. Other Receipts,88,20(c) Refund, Other Political Committees,88,20(c) Refund, Other Political Committees,88,20(c) Refund, Other Political Committees,88,20(c) Refund, Other Political Committees,88,20(c) Refund, Other Political Committees,88,88-20(b) Refund, Political Party Committees,88,88-20(c) Refund, Other Political Committees
20_b_refund_political_party_committees,89,20(b) Refund, Political Party Committees,89,20(b) Refund, Political Party Committees,89,16. Total Receipts,89,16. Total Receipts,89,20(d) Total Contributions Refunds,89,20(d) Total Contributions Refunds,89,20(d) Total Contributions Refunds,89,20(d) Total Contributions Refunds,89,20(d) Total Contributions Refunds,89,89-20(c) Refund, Other Political Committees,89,s_20(d) Total Contributions Refunds
20_c_refund_other_political_committees,90,20(c) Refund, Other Political Committees,90,20(c) Refund, Other Political Committees,90,17 Operating Expenditures,90,17 Operating Expenditures,90,21. Other Disbursements,90,21. Other Disbursements,90,21. Other Disbursements,90,21. Other Disbursements,90,21. Other Disbursements,90,s_20(d) Total Contributions Refunds,90,s_21 Other Disbursements
20_d_total_contributions_refunds,91,20(d) Total Contributions Refunds,91,20(d) Total Contributions Refunds,91,18. Transfers To Other AUTH Committees,91,18. Transfers To Other AUTH Committees,91,22. Total Disbursements,91,22. Total Disbursements,91,22. Total Disbursements,91,22. Total Disbursements,91,22. Total Disbursements,91,s_21Other Disbursements,91,s_22 Total Disbursements
21_other_disbursements,92,21. Other Disbursements,92,21. Other Disbursements,92,19(a) Loan Repayment By Candidate,92,19(a) Loan Repayment By Candidate,92,NAME/TREASURER (as signed),92,NAME/TREASURER (as signed),92,NAME/TREASURER (as signed),92,NAME/TREASURER (as signed),92,NAME/TREASURER (as signed),92,s_22Total Disbursements,92,IND/NAME (TREASURER)
22_total_disbursements,93,22. Total Disbursements,93,22. Total Disbursements,93,19(b) Loan Repayments,  ALL Other Loans,93,19(b) Loan Repayments,  ALL Other Loans,93,DATE (Signed),93,DATE (Signed),93,DATE (Signed),93,DATE (Signed),93,DATE (Signed),93,IND/NAME (Treasurer),93,DATE (SIGNED)
,,,94,19(c) Total Loan Repayments,94,19(c) Total Loan Repayments,94,19(c) Total Loan Repayments,94,FEC CANDIDATE ID NUMBER,94,FEC CANDIDATE ID NUMBER,94,FEC CANDIDATE ID NUMBER,94,FEC CANDIDATE ID NUMBER,,,94,DATE (Signed),,
,,,95,20(a) Refund/Individuals Other than Pol. Cmtes,95,20(a) Refund/Individuals Other than Pol. Cmtes,95,20(a) Refund/Individuals Other than Pol. Cmtes,95,CANDIDATE NAME,95,CANDIDATE NAME,95,CANDIDATE NAME,95,CANDIDATE NAME,,,,,,
,,,96,20(b) Refund, Political Party Committees,96,20(b) Refund, Political Party Committees,96,20(b) Refund, Political Party Committees,96,F3Z-1 REPORT TYPE (F3Z-1 RPTCODE),96,F3Z-1 REPORT TYPE (F3Z-1 RPTCODE),96,F3Z-1 REPORT TYPE (F3Z-1 RPTCODE),96,F3Z-1 REPORT TYPE (F3Z-1 RPTCODE),,,,,,
,,,97,20(c) Refund, Other Political Committees,97,20(c) Refund, Other Political Committees,97,20(c) Refund, Other Political Committees,97,1. GROSS RECEIPTS OF AUTHORIZED COMMITTEES  (PRIMARY),97,1. GROSS RECEIPTS OF AUTHORIZED COMMITTEES  (PRIMARY),97,1. GROSS RECEIPTS OF AUTHORIZED COMMITTEES  (PRIMARY),97,1. GROSS RECEIPTS OF AUTHORIZED COMMITTEES  (PRIMARY),,,,,,
,,,98,20(d) Total Contributions Refunds,98,20(d) Total Contributions Refunds,98,20(d) Total Contributions Refunds,98,2. AGGREGATE AMT OF CONTRIBUTIONS FROM PERSONAL FUNDS  (PRIMARY),98,2. AGGREGATE AMT OF CONTRIBUTIONS FROM PERSONAL FUNDS  (PRIMARY),98,2. AGGREGATE AMT OF CONTRIBUTIONS FROM PERSONAL FUNDS  (PRIMARY),98,2. AGGREGATE AMT OF CONTRIBUTIONS FROM PERSONAL FUNDS  (PRIMARY),,,,,,
,,,99,21. Other Disbursements,99,21. Other Disbursements,99,21. Other Disbursements,99,3. GROSS RECEIPTS - MINUS PERSONAL CONTRIBUTIONS FROM CANDIDATE  (PRIMARY),99,3. GROSS RECEIPTS - MINUS PERSONAL CONTRIBUTIONS FROM CANDIDATE  (PRIMARY),99,3. GROSS RECEIPTS - MINUS PERSONAL CONTRIBUTIONS FROM CANDIDATE  (PRIMARY),99,3. GROSS RECEIPTS - MINUS PERSONAL CONTRIBUTIONS FROM CANDIDATE  (PRIMARY),,,,,,
,,,100,22. Total Disbursements,100,22. Total Disbursements,100,22. Total Disbursements,100,1. GROSS RECEIPTS OF AUTHORIZED COMMITTEES  (GENERAL),100,1. GROSS RECEIPTS OF AUTHORIZED COMMITTEES  (GENERAL),100,1. GROSS RECEIPTS OF AUTHORIZED COMMITTEES  (GENERAL),100,1. GROSS RECEIPTS OF AUTHORIZED COMMITTEES  (GENERAL),,,,,,
,,,101,Gross Receipts of Authorized Committees (primary),101,Gross Receipts of Authorized Committees (primary),101,Gross Receipts of Authorized Committees (primary),101,2. AGGREGATE AMT OF CONTRIBUTIONS FROM PERSONAL FUNDS  (GENERAL),101,2. AGGREGATE AMT OF CONTRIBUTIONS FROM PERSONAL FUNDS  (GENERAL),101,2. AGGREGATE AMT OF CONTRIBUTIONS FROM PERSONAL FUNDS  (GENERAL),101,2. AGGREGATE AMT OF CONTRIBUTIONS FROM PERSONAL FUNDS  (GENERAL),,,,,,
,,,102,Aggregate Amount from Personal Funds (primary),102,Aggregate Amount from Personal Funds (primary),102,Aggregate Amount from Personal Funds (primary),102,3. GROSS RECEIPTS - MINUS PERSONAL CONTRIBUTIONS FROM CANDIDATE  (GENERAL),102,3. GROSS RECEIPTS - MINUS PERSONAL CONTRIBUTIONS FROM CANDIDATE  (GENERAL),102,3. GROSS RECEIPTS - MINUS PERSONAL CONTRIBUTIONS FROM CANDIDATE  (GENERAL),102,3. GROSS RECEIPTS - MINUS PERSONAL CONTRIBUTIONS FROM CANDIDATE  (GENERAL),,,,,,
,,,103,Gross Receipts Minus Personal from Candidate (primary),103,Gross Receipts Minus Personal from Candidate (primary),103,Gross Receipts Minus Personal from Candidate (primary),,,,,,,,,,,,,,
,,,104,Gross Receipts of Authorized Committees (general),104,Gross Receipts of Authorized Committees (general),104,Gross Receipts of Authorized Committees (general),,,,,,,,,,,,,,
,,,105,Aggregate Amount from Personal Funds (general),105,Aggregate Amount from Personal Funds (general),105,Aggregate Amount from Personal Funds (general),,,,,,,,,,,,,,
,,,106,Gross Receipts Minus Personal from Candidate (general),106,Gross Receipts Minus Personal from Candidate (general),106,Gross Receipts Minus Personal from Candidate (general),,,,,,,,,,,,,,
,,,107,Column A Amounts:,,,,,,,,,,,,,,,,,,
,,,108,Column B Amounts:,,,,,,,,,,,,,,,,,,
,,,109,Form 3Z-1 Consolidated Gross Receipts,,,,,,,,,,,,,,,,,,
