canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3|5.2|5.1|5.0|3,,^5.3|5.2|5.1|5.0,,^5.3|5.2|5.1|3,,^5.3|5.2|5.1,,^5.3|5.2|5.0|3,,^5.3|5.2|5.0,,^5.3|5.2|3,,^5.3|5.2,,^2,,^1,
iii_candidate_first_name,35,III CANDIDATE FIRST NAME,35,III CANDIDATE FIRST NAME,35,III CANDIDATE FIRST NAME,35,III CANDIDATE FIRST NAME,35,III CANDIDATE FIRST NAME,35,III CANDIDATE FIRST NAME,35,III CANDIDATE FIRST NAME,35,III CANDIDATE FIRST NAME,35,III CANDIDATE FIRST NAME,35,III CANDIDATE FIRST NAME,35,III CANDIDATE FIRST NAME,35,III CANDIDATE FIRST NAME,35,III CANDIDATE FIRST NAME,35,III CANDIDATE FIRST NAME,35,III CANDIDATE FIRST NAME,35,III CANDIDATE FIRST NAME,35,CAN/DIST,35,CAN/DIST,35,CAN/DIST,35,CAN/DIST,35,CAN/DIST,35,CAN/DIST,35,CAN/DIST,35,CAN/DIST,35,CAN/DIST,35,CAN/DIST
iii_candidate_middle_name,36,III CANDIDATE MIDDLE NAME,36,III CANDIDATE MIDDLE NAME,36,III CANDIDATE MIDDLE NAME,36,III CANDIDATE MIDDLE NAME,36,III CANDIDATE MIDDLE NAME,36,III CANDIDATE MIDDLE NAME,36,III CANDIDATE MIDDLE NAME,36,III CANDIDATE MIDDLE NAME,36,III CANDIDATE MIDDLE NAME,36,III CANDIDATE MIDDLE NAME,36,III CANDIDATE MIDDLE NAME,36,III CANDIDATE MIDDLE NAME,36,III CANDIDATE MIDDLE NAME,36,III CANDIDATE MIDDLE NAME,36,III CANDIDATE MIDDLE NAME,36,III CANDIDATE MIDDLE NAME,36,DATE (Of Contribution),36,DATE (Of Contribution),36,DATE (Of Contribution),36,DATE (Of Contribution),36,DATE (Of Contribution),36,DATE (Of Contribution),36,DATE (Of Contribution),36,DATE (Of Contribution),36,DATE (Of Contribution),36,DATE (OF CONTRIBUTION)
iii_candidate_prefix,37,III CANDIDATE PREFIX,37,III CANDIDATE PREFIX,37,III CANDIDATE PREFIX,37,III CANDIDATE PREFIX,37,III CANDIDATE PREFIX,37,III CANDIDATE PREFIX,37,III CANDIDATE PREFIX,37,III CANDIDATE PREFIX,37,III CANDIDATE PREFIX,37,III CANDIDATE PREFIX,37,III CANDIDATE PREFIX,37,III CANDIDATE PREFIX,37,III CANDIDATE PREFIX,37,III CANDIDATE PREFIX,37,III CANDIDATE PREFIX,37,III CANDIDATE PREFIX,37,FEC CANDIDATE ID NUMBER,37,FEC CANDIDATE ID NUMBER,37,FEC CANDIDATE ID NUMBER,37,FEC CANDIDATE ID NUMBER,37,FEC CANDIDATE ID NUMBER,37,FEC CANDIDATE ID NUMBER,37,FEC CANDIDATE ID NUMBER,37,FEC CANDIDATE ID NUMBER,37,FEC CANDIDATE ID NUMBER,37,FEC CANDIDATE ID NUMBER
iii_candidate_suffix,38,III CANDIDATE SUFFIX,38,III CANDIDATE SUFFIX,38,III CANDIDATE SUFFIX,38,III CANDIDATE SUFFIX,38,III CANDIDATE SUFFIX,38,III CANDIDATE SUFFIX,38,III CANDIDATE SUFFIX,38,III CANDIDATE SUFFIX,38,III CANDIDATE SUFFIX,38,III CANDIDATE SUFFIX,38,III CANDIDATE SUFFIX,38,III CANDIDATE SUFFIX,38,III CANDIDATE SUFFIX,38,III CANDIDATE SUFFIX,38,III CANDIDATE SUFFIX,38,III CANDIDATE SUFFIX,38,CANDIDATE NAME,38,CANDIDATE NAME,38,CANDIDATE NAME,38,CANDIDATE NAME,38,CANDIDATE NAME,38,CANDIDATE NAME,38,CANDIDATE NAME,38,CANDIDATE NAME,38,CANDIDATE NAME,38,CANDIDATE NAME
iii_candidate_office,39,III CANDIDATE OFFICE,39,III CANDIDATE OFFICE,39,III CANDIDATE OFFICE,39,III CANDIDATE OFFICE,39,III CANDIDATE OFFICE,39,III CANDIDATE OFFICE,39,III CANDIDATE OFFICE,39,III CANDIDATE OFFICE,39,III CANDIDATE OFFICE,39,III CANDIDATE OFFICE,39,III CANDIDATE OFFICE,39,III CANDIDATE OFFICE,39,III CANDIDATE OFFICE,39,III CANDIDATE OFFICE,39,III CANDIDATE OFFICE,39,III CANDIDATE OFFICE,39,CAN/OFFICE,39,CAN/OFFICE,39,CAN/OFFICE,39,CAN/OFFICE,39,CAN/OFFICE,39,CAN/OFFICE,39,CAN/OFFICE,39,CAN/OFFICE,39,CAN/OFF,39,CAN/OFF
iii_candidate_state,40,III CANDIDATE STATE ,40,III CANDIDATE STATE ,40,III CANDIDATE STATE ,40,III CANDIDATE STATE ,40,III CANDIDATE STATE ,40,III CANDIDATE STATE ,40,III CANDIDATE STATE ,40,III CANDIDATE STATE ,40,III CANDIDATE STATE ,40,III CANDIDATE STATE ,40,III CANDIDATE STATE ,40,III CANDIDATE STATE ,40,III CANDIDATE STATE ,40,III CANDIDATE STATE ,40,III CANDIDATE STATE ,40,III CANDIDATE STATE ,40,CAN/STATE ,40,CAN/STATE ,40,CAN/STATE ,40,CAN/STATE ,40,CAN/STATE ,40,CAN/STATE ,40,CAN/STATE ,40,CAN/STATE ,40,STATE (Of Election),40,STATE (OF ELECTION)
iii_candidate_dist,41,III CANDIDATE DIST,41,III CANDIDATE DIST,41,III CANDIDATE DIST,41,III CANDIDATE DIST,41,III CANDIDATE DIST,41,III CANDIDATE DIST,41,III CANDIDATE DIST,41,III CANDIDATE DIST,41,III CANDIDATE DIST,41,III CANDIDATE DIST,41,III CANDIDATE DIST,41,III CANDIDATE DIST,41,III CANDIDATE DIST,41,III CANDIDATE DIST,41,III CANDIDATE DIST,41,III CANDIDATE DIST,41,CAN/DIST,41,CAN/DIST,41,CAN/DIST,41,CAN/DIST,41,CAN/DIST,41,CAN/DIST,41,CAN/DIST,41,CAN/DIST,41,CAN/DIST,41,CAN/DIST
iii_date_of_contribution,42,III DATE OF CONTRIBUTION,42,III DATE OF CONTRIBUTION,42,III DATE OF CONTRIBUTION,42,III DATE OF CONTRIBUTION,42,III DATE OF CONTRIBUTION,42,III DATE OF CONTRIBUTION,42,III DATE OF CONTRIBUTION,42,III DATE OF CONTRIBUTION,42,III DATE OF CONTRIBUTION,42,III DATE OF CONTRIBUTION,42,III DATE OF CONTRIBUTION,42,III DATE OF CONTRIBUTION,42,III DATE OF CONTRIBUTION,42,III DATE OF CONTRIBUTION,42,III DATE OF CONTRIBUTION,42,III DATE OF CONTRIBUTION,42,DATE (Of Contribution),42,DATE (Of Contribution),42,DATE (Of Contribution),42,DATE (Of Contribution),42,DATE (Of Contribution),42,DATE (Of Contribution),42,DATE (Of Contribution),42,DATE (Of Contribution),42,DATE (Of Contribution),42,DATE (OF CONTRIBUTION)
iv_candidate_id_number,43,IV CANDIDATE ID NUMBER,43,IV CANDIDATE ID NUMBER,43,IV CANDIDATE ID NUMBER,43,IV CANDIDATE ID NUMBER,43,IV CANDIDATE ID NUMBER,43,IV CANDIDATE ID NUMBER,43,IV CANDIDATE ID NUMBER,43,IV CANDIDATE ID NUMBER,43,IV CANDIDATE ID NUMBER,43,IV CANDIDATE ID NUMBER,43,IV CANDIDATE ID NUMBER,43,IV CANDIDATE ID NUMBER,43,IV CANDIDATE ID NUMBER,43,IV CANDIDATE ID NUMBER,43,IV CANDIDATE ID NUMBER,43,IV CANDIDATE ID NUMBER,43,DATE (Of 51st Contributor),43,DATE (Of 51st Contributor),43,DATE (Of 51st Contributor),43,DATE (Of 51st Contributor),43,DATE (Of 51st Contributor),43,DATE (Of 51st Contributor),43,DATE (Of 51st Contributor),43,DATE (Of 51st Contributor),43,DATE (Of 51st Contributor),43,DATE (OF 51ST CONTRIBUTOR)
iv_candidate_last_name,44,IV CANDIDATE LAST NAME,44,IV CANDIDATE LAST NAME,44,IV CANDIDATE LAST NAME,44,IV CANDIDATE LAST NAME,44,IV CANDIDATE LAST NAME,44,IV CANDIDATE LAST NAME,44,IV CANDIDATE LAST NAME,44,IV CANDIDATE LAST NAME,44,IV CANDIDATE LAST NAME,44,IV CANDIDATE LAST NAME,44,IV CANDIDATE LAST NAME,44,IV CANDIDATE LAST NAME,44,IV CANDIDATE LAST NAME,44,IV CANDIDATE LAST NAME,44,IV CANDIDATE LAST NAME,44,IV CANDIDATE LAST NAME,44,DATE (Of Orig Registration),44,DATE (Of Orig Registration),44,DATE (Of Orig Registration),44,DATE (Of Orig Registration),44,DATE (Of Orig Registration),44,DATE (Of Orig Registration),44,DATE (Of Orig Registration),44,DATE (Of Orig Registration),44,DATE (Of Orig Registration),44,DATE (OF ORIGINAL REGISTRATION)
iv_candidate_first_name,45,IV CANDIDATE FIRST NAME,45,IV CANDIDATE FIRST NAME,45,IV CANDIDATE FIRST NAME,45,IV CANDIDATE FIRST NAME,45,IV CANDIDATE FIRST NAME,45,IV CANDIDATE FIRST NAME,45,IV CANDIDATE FIRST NAME,45,IV CANDIDATE FIRST NAME,45,IV CANDIDATE FIRST NAME,45,IV CANDIDATE FIRST NAME,45,IV CANDIDATE FIRST NAME,45,IV CANDIDATE FIRST NAME,45,IV CANDIDATE FIRST NAME,45,IV CANDIDATE FIRST NAME,45,IV CANDIDATE FIRST NAME,45,IV CANDIDATE FIRST NAME,45,DATE (Cmte Met Requirements),45,DATE (Cmte Met Requirements),45,DATE (Cmte Met Requirements),45,DATE (Cmte Met Requirements),45,DATE (Cmte Met Requirements),45,DATE (Cmte Met Requirements),45,DATE (Cmte Met Requirements),45,DATE (Cmte Met Requirements),45,DATE (Cmte Met Requirements),45,DATE (COMMITTEE MET REQUIREMENTS)
iv_candidate_middle_name,46,IV CANDIDATE MIDDLE NAME,46,IV CANDIDATE MIDDLE NAME,46,IV CANDIDATE MIDDLE NAME,46,IV CANDIDATE MIDDLE NAME,46,IV CANDIDATE MIDDLE NAME,46,IV CANDIDATE MIDDLE NAME,46,IV CANDIDATE MIDDLE NAME,46,IV CANDIDATE MIDDLE NAME,46,IV CANDIDATE MIDDLE NAME,46,IV CANDIDATE MIDDLE NAME,46,IV CANDIDATE MIDDLE NAME,46,IV CANDIDATE MIDDLE NAME,46,IV CANDIDATE MIDDLE NAME,46,IV CANDIDATE MIDDLE NAME,46,IV CANDIDATE MIDDLE NAME,46,IV CANDIDATE MIDDLE NAME,46,NAME/TREASURER (as signed),46,NAME/TREASURER (as signed),46,NAME/TREASURER (as signed),46,NAME/TREASURER (as signed),46,NAME/TREASURER (as signed),46,NAME/TREASURER (as signed),46,NAME/TREASURER (as signed),46,NAME/TREASURER (as signed),46,IND/NAME (Treasurer),46,IND/NAME (TREASURER) SIGNATURE OF TREAS
iv_candidate_prefix,47,IV CANDIDATE PREFIX,47,IV CANDIDATE PREFIX,47,IV CANDIDATE PREFIX,47,IV CANDIDATE PREFIX,47,IV CANDIDATE PREFIX,47,IV CANDIDATE PREFIX,47,IV CANDIDATE PREFIX,47,IV CANDIDATE PREFIX,47,IV CANDIDATE PREFIX,47,IV CANDIDATE PREFIX,47,IV CANDIDATE PREFIX,47,IV CANDIDATE PREFIX,47,IV CANDIDATE PREFIX,47,IV CANDIDATE PREFIX,47,IV CANDIDATE PREFIX,47,IV CANDIDATE PREFIX,47,DATE (Signed),47,DATE (Signed),47,DATE (Signed),47,DATE (Signed),47,DATE (Signed),47,DATE (Signed),47,DATE (Signed),47,DATE (Signed),47,DATE (Signed),47,DATE (SIGNED)
iv_candidate_suffix,48,IV CANDIDATE SUFFIX,48,IV CANDIDATE SUFFIX,48,IV CANDIDATE SUFFIX,48,IV CANDIDATE SUFFIX,48,IV CANDIDATE SUFFIX,48,IV CANDIDATE SUFFIX,48,IV CANDIDATE SUFFIX,48,IV CANDIDATE SUFFIX,48,IV CANDIDATE SUFFIX,48,IV CANDIDATE SUFFIX,48,IV CANDIDATE SUFFIX,48,IV CANDIDATE SUFFIX,48,IV CANDIDATE SUFFIX,48,IV CANDIDATE SUFFIX,48,IV CANDIDATE SUFFIX,48,IV CANDIDATE SUFFIX,,,,,,,,,,,,,,,,,,,,
iv_candidate_office,49,IV CANDIDATE OFFICE,49,IV CANDIDATE OFFICE,49,IV CANDIDATE OFFICE,49,IV CANDIDATE OFFICE,49,IV CANDIDATE OFFICE,49,IV CANDIDATE OFFICE,49,IV CANDIDATE OFFICE,49,IV CANDIDATE OFFICE,49,IV CANDIDATE OFFICE,49,IV CANDIDATE OFFICE,49,IV CANDIDATE OFFICE,49,IV CANDIDATE OFFICE,49,IV CANDIDATE OFFICE,49,IV CANDIDATE OFFICE,49,IV CANDIDATE OFFICE,49,IV CANDIDATE OFFICE,,,,,,,,,,,,,,,,,,,,
iv_candidate_state,50,IV CANDIDATE STATE ,50,IV CANDIDATE STATE ,50,IV CANDIDATE STATE ,50,IV CANDIDATE STATE ,50,IV CANDIDATE STATE ,50,IV CANDIDATE STATE ,50,IV CANDIDATE STATE ,50,IV CANDIDATE STATE ,50,IV CANDIDATE STATE ,50,IV CANDIDATE STATE ,50,IV CANDIDATE STATE ,50,IV CANDIDATE STATE ,50,IV CANDIDATE STATE ,50,IV CANDIDATE STATE ,50,IV CANDIDATE STATE ,50,IV CANDIDATE STATE ,,,,,,,,,,,,,,,,,,,,
iv_candidate_dist,51,IV CANDIDATE DIST,51,IV CANDIDATE DIST,51,IV CANDIDATE DIST,51,IV CANDIDATE DIST,51,IV CANDIDATE DIST,51,IV CANDIDATE DIST,51,IV CANDIDATE DIST,51,IV CANDIDATE DIST,51,IV CANDIDATE DIST,51,IV CANDIDATE DIST,51,IV CANDIDATE DIST,51,IV CANDIDATE DIST,51,IV CANDIDATE DIST,51,IV CANDIDATE DIST,51,IV CANDIDATE DIST,51,IV CANDIDATE DIST,,,,,,,,,,,,,,,,,,,,
iv_date_of_contribution,52,IV DATE OF CONTRIBUTION,52,IV DATE OF CONTRIBUTION,52,IV DATE OF CONTRIBUTION,52,IV DATE OF CONTRIBUTION,52,IV DATE OF CONTRIBUTION,52,IV DATE OF CONTRIBUTION,52,IV DATE OF CONTRIBUTION,52,IV DATE OF CONTRIBUTION,52,IV DATE OF CONTRIBUTION,52,IV DATE OF CONTRIBUTION,52,IV DATE OF CONTRIBUTION,52,IV DATE OF CONTRIBUTION,52,IV DATE OF CONTRIBUTION,52,IV DATE OF CONTRIBUTION,52,IV DATE OF CONTRIBUTION,52,IV DATE OF CONTRIBUTION,,,,,,,,,,,,,,,,,,,,
v_candidate_id_number,53,V CANDIDATE ID NUMBER,53,V CANDIDATE ID NUMBER,53,V CANDIDATE ID NUMBER,53,V CANDIDATE ID NUMBER,53,V CANDIDATE ID NUMBER,53,V CANDIDATE ID NUMBER,53,V CANDIDATE ID NUMBER,53,V CANDIDATE ID NUMBER,53,V CANDIDATE ID NUMBER,53,V CANDIDATE ID NUMBER,53,V CANDIDATE ID NUMBER,53,V CANDIDATE ID NUMBER,53,V CANDIDATE ID NUMBER,53,V CANDIDATE ID NUMBER,53,V CANDIDATE ID NUMBER,53,V CANDIDATE ID NUMBER,,,,,,,,,,,,,,,,,,,,
v_candidate_last_name,54,V CANDIDATE LAST NAME,54,V CANDIDATE LAST NAME,54,V CANDIDATE LAST NAME,54,V CANDIDATE LAST NAME,54,V CANDIDATE LAST NAME,54,V CANDIDATE LAST NAME,54,V CANDIDATE LAST NAME,54,V CANDIDATE LAST NAME,54,V CANDIDATE LAST NAME,54,V CANDIDATE LAST NAME,54,V CANDIDATE LAST NAME,54,V CANDIDATE LAST NAME,54,V CANDIDATE LAST NAME,54,V CANDIDATE LAST NAME,54,V CANDIDATE LAST NAME,54,V CANDIDATE LAST NAME,,,,,,,,,,,,,,,,,,,,
v_candidate_first_name,55,V CANDIDATE FIRST NAME,55,V CANDIDATE FIRST NAME,55,V CANDIDATE FIRST NAME,55,V CANDIDATE FIRST NAME,55,V CANDIDATE FIRST NAME,55,V CANDIDATE FIRST NAME,55,V CANDIDATE FIRST NAME,55,V CANDIDATE FIRST NAME,55,V CANDIDATE FIRST NAME,55,V CANDIDATE FIRST NAME,55,V CANDIDATE FIRST NAME,55,V CANDIDATE FIRST NAME,55,V CANDIDATE FIRST NAME,55,V CANDIDATE FIRST NAME,55,V CANDIDATE FIRST NAME,55,V CANDIDATE FIRST NAME,,,,,,,,,,,,,,,,,,,,
v_candidate_middle_name,56,V CANDIDATE MIDDLE NAME,56,V CANDIDATE MIDDLE NAME,56,V CANDIDATE MIDDLE NAME,56,V CANDIDATE MIDDLE NAME,56,V CANDIDATE MIDDLE NAME,56,V CANDIDATE MIDDLE NAME,56,V CANDIDATE MIDDLE NAME,56,V CANDIDATE MIDDLE NAME,56,V CANDIDATE MIDDLE NAME,56,V CANDIDATE MIDDLE NAME,56,V CANDIDATE MIDDLE NAME,56,V CANDIDATE MIDDLE NAME,56,V CANDIDATE MIDDLE NAME,56,V CANDIDATE MIDDLE NAME,56,V CANDIDATE MIDDLE NAME,56,V CANDIDATE MIDDLE NAME,,,,,,,,,,,,,,,,,,,,
v_candidate_prefix,57,V CANDIDATE PREFIX,57,V CANDIDATE PREFIX,57,V CANDIDATE PREFIX,57,V CANDIDATE PREFIX,57,V CANDIDATE PREFIX,57,V CANDIDATE PREFIX,57,V CANDIDATE PREFIX,57,V CANDIDATE PREFIX,57,V CANDIDATE PREFIX,57,V CANDIDATE PREFIX,57,V CANDIDATE PREFIX,57,V CANDIDATE PREFIX,57,V CANDIDATE PREFIX,57,V CANDIDATE PREFIX,57,V CANDIDATE PREFIX,57,V CANDIDATE PREFIX,,,,,,,,,,,,,,,,,,,,
v_candidate_suffix,58,V CANDIDATE SUFFIX,58,V CANDIDATE SUFFIX,58,V CANDIDATE SUFFIX,58,V CANDIDATE SUFFIX,58,V CANDIDATE SUFFIX,58,V CANDIDATE SUFFIX,58,V CANDIDATE SUFFIX,58,V CANDIDATE SUFFIX,58,V CANDIDATE SUFFIX,58,V CANDIDATE SUFFIX,58,V CANDIDATE SUFFIX,58,V CANDIDATE SUFFIX,58,V CANDIDATE SUFFIX,58,V CANDIDATE SUFFIX,58,V CANDIDATE SUFFIX,58,V CANDIDATE SUFFIX,,,,,,,,,,,,,,,,,,,,
v_candidate_office,59,V CANDIDATE OFFICE,59,V CANDIDATE OFFICE,59,V CANDIDATE OFFICE,59,V CANDIDATE OFFICE,59,V CANDIDATE OFFICE,59,V CANDIDATE OFFICE,59,V CANDIDATE OFFICE,59,V CANDIDATE OFFICE,59,V CANDIDATE OFFICE,59,V CANDIDATE OFFICE,59,V CANDIDATE OFFICE,59,V CANDIDATE OFFICE,59,V CANDIDATE OFFICE,59,V CANDIDATE OFFICE,59,V CANDIDATE OFFICE,59,V CANDIDATE OFFICE,,,,,,,,,,,,,,,,,,,,
v_candidate_state,60,V CANDIDATE STATE ,60,V CANDIDATE STATE ,60,V CANDIDATE STATE ,60,V CANDIDATE STATE ,60,V CANDIDATE STATE ,60,V CANDIDATE STATE ,60,V CANDIDATE STATE ,60,V CANDIDATE STATE ,60,V CANDIDATE STATE ,60,V CANDIDATE STATE ,60,V CANDIDATE STATE ,60,V CANDIDATE STATE ,60,V CANDIDATE STATE ,60,V CANDIDATE STATE ,60,V CANDIDATE STATE ,60,V CANDIDATE STATE ,,,,,,,,,,,,,,,,,,,,
v_candidate_dist,61,V CANDIDATE DIST,61,V CANDIDATE DIST,61,V CANDIDATE DIST,61,V CANDIDATE DIST,61,V CANDIDATE DIST,61,V CANDIDATE DIST,61,V CANDIDATE DIST,61,V CANDIDATE DIST,61,V CANDIDATE DIST,61,V CANDIDATE DIST,61,V CANDIDATE DIST,61,V CANDIDATE DIST,61,V CANDIDATE DIST,61,V CANDIDATE DIST,61,V CANDIDATE DIST,61,V CANDIDATE DIST,,,,,,,,,,,,,,,,,,,,
v_date_of_contribution,62,V DATE OF CONTRIBUTION,62,V DATE OF CONTRIBUTION,62,V DATE OF CONTRIBUTION,62,V DATE OF CONTRIBUTION,62,V DATE OF CONTRIBUTION,62,V DATE OF CONTRIBUTION,62,V DATE OF CONTRIBUTION,62,V DATE OF CONTRIBUTION,62,V DATE OF CONTRIBUTION,62,V DATE OF CONTRIBUTION,62,V DATE OF CONTRIBUTION,62,V DATE OF CONTRIBUTION,62,V DATE OF CONTRIBUTION,62,V DATE OF CONTRIBUTION,62,V DATE OF CONTRIBUTION,62,V DATE OF CONTRIBUTION,,,,,,,,,,,,,,,,,,,,
date_of_51st_contributor,63,DATE (Of 51st Contributor),63,DATE (Of 51st Contributor),63,DATE (Of 51st Contributor),63,DATE (Of 51st Contributor),63,DATE (Of 51st Contributor),63,DATE (Of 51st Contributor),63,DATE (Of 51st Contributor),63,DATE (Of 51st Contributor),63,DATE (Of 51st Contributor),63,DATE (Of 51st Contributor),63,DATE (Of 51st Contributor),63,DATE (Of 51st Contributor),63,DATE (Of 51st Contributor),63,DATE (Of 51st Contributor),63,DATE (Of 51st Contributor),63,DATE (Of 51st Contributor),,,,,,,,,,,,,,,,,,,,
date_of_orig_registration,64,DATE (Of Orig Registration),64,DATE (Of Orig Registration),64,DATE (Of Orig Registration),64,DATE (Of Orig Registration),64,DATE (Of Orig Registration),64,DATE (Of Orig Registration),64,DATE (Of Orig Registration),64,DATE (Of Orig Registration),64,DATE (Of Orig Registration),64,DATE (Of Orig Registration),64,DATE (Of Orig Registration),64,DATE (Of Orig Registration),64,DATE (Of Orig Registration),64,DATE (Of Orig Registration),64,DATE (Of Orig Registration),64,DATE (Of Orig Registration),,,,,,,,,,,,,,,,,,,,
date_cmte_met_requirements,65,DATE (Cmte Met Requirements),65,DATE (Cmte Met Requirements),65,DATE (Cmte Met Requirements),65,DATE (Cmte Met Requirements),65,DATE (Cmte Met Requirements),65,DATE (Cmte Met Requirements),65,DATE (Cmte Met Requirements),65,DATE (Cmte Met Requirements),65,DATE (Cmte Met Requirements),65,DATE (Cmte Met Requirements),65,DATE (Cmte Met Requirements),65,DATE (Cmte Met Requirements),65,DATE (Cmte Met Requirements),65,DATE (Cmte Met Requirements),65,DATE (Cmte Met Requirements),65,DATE (Cmte Met Requirements),,,,,,,,,,,,,,,,,,,,
treasurer_last_name,66,TREASURER LAST NAME,66,TREASURER LAST NAME,66,TREASURER LAST NAME,66,TREASURER LAST NAME,66,TREASURER LAST NAME,66,TREASURER LAST NAME,66,TREASURER LAST NAME,66,TREASURER LAST NAME,66,TREASURER LAST NAME,66,TREASURER LAST NAME,66,TREASURER LAST NAME,66,TREASURER LAST NAME,66,TREASURER LAST NAME,66,TREASURER LAST NAME,66,TREASURER LAST NAME,66,TREASURER LAST NAME,,,,,,,,,,,,,,,,,,,,
treasurer_first_name,67,TREASURER FIRST NAME,67,TREASURER FIRST NAME,67,TREASURER FIRST NAME,67,TREASURER FIRST NAME,67,TREASURER FIRST NAME,67,TREASURER FIRST NAME,67,TREASURER FIRST NAME,67,TREASURER FIRST NAME,67,TREASURER FIRST NAME,67,TREASURER FIRST NAME,67,TREASURER FIRST NAME,67,TREASURER FIRST NAME,67,TREASURER FIRST NAME,67,TREASURER FIRST NAME,67,TREASURER FIRST NAME,67,TREASURER FIRST NAME,,,,,,,,,,,,,,,,,,,,
treasurer_middle_name,68,TREASURER MIDDLE NAME,68,TREASURER MIDDLE NAME,68,TREASURER MIDDLE NAME,68,TREASURER MIDDLE NAME,68,TREASURER MIDDLE NAME,68,TREASURER MIDDLE NAME,68,TREASURER MIDDLE NAME,68,TREASURER MIDDLE NAME,68,TREASURER MIDDLE NAME,68,TREASURER MIDDLE NAME,68,TREASURER MIDDLE NAME,68,TREASURER MIDDLE NAME,68,TREASURER MIDDLE NAME,68,TREASURER MIDDLE NAME,68,TREASURER MIDDLE NAME,68,TREASURER MIDDLE NAME,,,,,,,,,,,,,,,,,,,,
treasurer_prefix,69,TREASURER PREFIX,69,TREASURER PREFIX,69,TREASURER PREFIX,69,TREASURER PREFIX,69,TREASURER PREFIX,69,TREASURER PREFIX,69,TREASURER PREFIX,69,TREASURER PREFIX,69,TREASURER PREFIX,69,TREASURER PREFIX,69,TREASURER PREFIX,69,TREASURER PREFIX,69,TREASURER PREFIX,69,TREASURER PREFIX,69,TREASURER PREFIX,69,TREASURER PREFIX,,,,,,,,,,,,,,,,,,,,
treasurer_suffix,70,TREASURER SUFFIX,70,TREASURER SUFFIX,70,TREASURER SUFFIX,70,TREASURER SUFFIX,70,TREASURER SUFFIX,70,TREASURER SUFFIX,70,TREASURER SUFFIX,70,TREASURER SUFFIX,70,TREASURER SUFFIX,70,TREASURER SUFFIX,70,TREASURER SUFFIX,70,TREASURER SUFFIX,70,TREASURER SUFFIX,70,TREASURER SUFFIX,70,TREASURER SUFFIX,70,TREASURER SUFFIX,,,,,,,,,,,,,,,,,,,,
date_signed,71,DATE SIGNED,71,DATE SIGNED,71,DATE SIGNED,71,DATE SIGNED,71,DATE SIGNED,71,DATE SIGNED,71,DATE SIGNED,71,DATE SIGNED,71,DATE SIGNED,71,DATE SIGNED,71,DATE SIGNED,71,DATE SIGNED,71,DATE SIGNED,71,DATE SIGNED,71,DATE SIGNED,71,DATE SIGNED,,,,,,,,,,,,,,,,,,,,
