canonical,^8.0|7.0,,^6.4|6.3|6.2|6.1,,^6.4|6.3|6.2,,^6.4|6.3|6.1,,^6.4|6.3,,^5.3|5.2,,^5.1|5.0|3,,^5.1|5.0,,^2,,^1,
south_carolina,106,SOUTH CAROLINA,106,TENNESSEE,106,TENNESSEE,106,TENNESSEE,106,TENNESSEE,106,WEST VIRGINIA,106,WEST VIRGINIA,106,WEST VIRGINIA,106,WEST VIRGINIA,106,WEST VIRGINIA
south_dakota,107,SOUTH DAKOTA,107,TEXAS,107,TEXAS,107,TEXAS,107,TEXAS,107,WISCONSIN,107,WISCONSIN,107,WISCONSIN,107,WISCONSIN,107,WISCONSIN
tennessee,108,TENNESSEE,108,UTAH,108,UTAH,108,UTAH,108,UTAH,108,WYOMING,108,WYOMING,108,WYOMING,108,WYOMING,108,WYOMING
texas,109,TEXAS,109,VERMONT,109,VERMONT,109,VERMONT,109,VERMONT,109,PUERTO RICO,109,PUERTO RICO,109,PUERTO RICO,109,PUERTO RICO,109,PUERTO RICO
utah,110,UTAH,110,VIRGINIA,110,VIRGINIA,110,VIRGINIA,110,VIRGINIA,110,GUAM,110,GUAM,110,GUAM,110,GUAM,110,GUAM
vermont,111,VERMONT,111,WASHINGTON,111,WASHINGTON,111,WASHINGTON,111,WASHINGTON,111,VIRGIN ISLANDS,111,VIRGIN ISLANDS,111,VIRGIN ISLANDS,111,VIRGIN ISLANDS,111,VIRGIN ISLANDS
virginia,112,VIRGINIA,112,WEST VIRGINIA,112,WEST VIRGINIA,112,WEST VIRGINIA,112,WEST VIRGINIA,112,TOTALS,112,TOTALS,112,TOTALS,112,TOTALS,112,TOTALS
washington,113,WASHINGTON,113,WISCONSIN,113,WISCONSIN,113,WISCONSIN,113,WISCONSIN,113,16. Federal Funds,113,16. Federal Funds,113,16. Federal Funds,113,s_16 Federal Funds,113,s_16 Federal Funds
west_virginia,114,WEST VIRGINIA,114,WYOMING,114,WYOMING,114,WYOMING,114,WYOMING,114,17(a)  Individuals,114,17(a)  Individuals,114,17(a)  Individuals,114,s_17(a) Individuals,114,s_17(a) Individuals
wisconsin,115,WISCONSIN,115,PUERTO RICO,115,PUERTO RICO,115,PUERTO RICO,115,PUERTO RICO,115,17(b) Political Party Committees,115,17(b) Political Party Committees,115,17(b) Political Party Committees,115,s_17(b) Political Party Committees,115,s_17(b) Politial Party Committees
wyoming,116,WYOMING,116,GUAM,116,GUAM,116,GUAM,116,GUAM,116,17(c) Other Political Committees (PACs),116,17(c) Other Political Committees (PACs),116,17(c) Other Political Committees (PACs),116,s_17(c) Other Political Committees (PACs),116,s_17(c) Other Political Committees (PACs)
puerto_rico,117,PUERTO RICO,117,VIRGIN ISLANDS,117,VIRGIN ISLANDS,117,VIRGIN ISLANDS,117,VIRGIN ISLANDS,117,17(d) The Candidate,117,17(d) The Candidate,117,17(d) The Candidate,117,s_17(d) The Candidate,117,s_17(d) the Candidate
guam,118,GUAM,118,TOTALS,118,TOTALS,118,TOTALS,118,TOTALS,118,17(e) Total contributions  (Other than Loans),118,17(e) Total contributions  (Other than Loans),118,17(e) Total contributions  (Other than Loans),118,s_17(e) Total contributions (Other than Loans),118,s_17(e) Total contributions (Other than Loans)
virgin_islands,119,VIRGIN ISLANDS,119,16. Federal Funds,119,16. Federal Funds,119,16. Federal Funds,119,16. Federal Funds,119,18. Transfers From Aff/Other Party Cmttees,119,18. Transfers From Aff/Other Party Committees,119,18. Transfers From Aff/Other Party Committees,119,s_18 Transfers From Aff/Other Party Committees,119,s_18 Transfers from Aff/Other Party Committees
totals,120,TOTALS,120,17(a)  Individuals,120,17(a)  Individuals,120,17(a)  Individuals,120,17(a)  Individuals,120,19(a) Received from or Guaranteed  by Cand.,120,19(a) Received from or Guaranteed  by Candidate,120,19(a) Received from or Guaranteed  by Candidate,120,s_19(a) Received from or Guaranteed by Candidate,120,s_19(a) Received from or Guranteed by Candidate
16_federal_funds,121,16. Federal Funds,121,17(b) Political Party Committees,121,17(b) Political Party Committees,121,17(b) Political Party Committees,121,17(b) Political Party Committees,121,19(b) Other Loans,121,19(b) Other Loans,121,19(b) Other Loans,121,s_19(b) Other Loans,121,s_19(b) Other Loans
17_a_i_individuals_itemized,122,17(a.i) Individuals Itemized,122,17(c) Other Political Committees (PACs),122,17(c) Other Political Committees (PACs),122,17(c) Other Political Committees (PACs),122,17(c) Other Political Committees (PACs),122,19(c) Total Loans,122,19(c) Total Loans,122,19(c) Total Loans,122,s_19(c) Total Loans,122,s_19(c) Total Loans
17_a_ii_individuals_unitemized,123,17(a.ii) Individuals Unitemized,123,17(d) The Candidate,123,17(d) The Candidate,123,17(d) The Candidate,123,17(d) The Candidate,123,20(a) Operating,123,20(a) Operating,123,20(a) Operating,123,s_20(a) Operating,123,s_20(a) Operating
17_a_iii_individual_contribution_total,124,17(a.iii) Individual Contribution Total,124,17(e) Total contributions  (Other than Loans),124,17(e) Total contributions  (Other than Loans),124,17(e) Total contributions  (Other than Loans),124,17(e) Total contributions  (Other than Loans),124,20(b) Fundraising,124,20(b) Fundraising,124,20(b) Fundraising,124,s_20(b) Fundraising,124,s_20(b) Fundraising
17_b_political_party_committees,125,17(b) Political Party Committees,125,18. Transfers From Aff/Other Party Cmttees,125,18. Transfers From Aff/Other Party Cmttees,125,18. Transfers From Aff/Other Party Cmttees,125,18. Transfers From Aff/Other Party Cmttees,125,20(c) Legal and Accounting,125,20(c) Legal and Accounting,125,20(c) Legal and Accounting,125,s_20(c) Legal and Accounting,125,s_20(c) Legal and Accounting
17_c_other_political_committees_pacs,126,17(c) Other Political Committees (PACs),126,19(a) Received from or Guaranteed  by Cand.,126,19(a) Received from or Guaranteed  by Cand.,126,19(a) Received from or Guaranteed  by Cand.,126,19(a) Received from or Guaranteed  by Cand.,126,20(d) Total Offsets to Operating Expenditures,126,20(d) Total Offsets to Operating Expenditures,126,20(d) Total Offsets to Operating Expenditures,126,s_20(d) Total Offsets to Operating Expenditures,126,s_20(d) Total offsets to Operating Expenditures
17_d_the_candidate,127,17(d) The Candidate,127,19(b) Other Loans,127,19(b) Other Loans,127,19(b) Other Loans,127,19(b) Other Loans,127,21. Other Receipts,127,21. Other Receipts,127,21. Other Receipts,127,s_21 Other Receipts,127,s_21 Other Receipts
17_e_total_contributions_other_than_loans,128,17(e) Total contributions  (Other than Loans),128,19(c) Total Loans,128,19(c) Total Loans,128,19(c) Total Loans,128,19(c) Total Loans,128,22. Total Receipts,128,22. Total Receipts,128,22. Total Receipts,128,s_22 Total Receipts,128,s_22 Total Receipts
18_transfers_from_aff_other_party_cmttees,129,18. Transfers From Aff/Other Party Cmttees,129,20(a) Operating,129,20(a) Operating,129,20(a) Operating,129,20(a) Operating,129,23. Operating Expenditures,129,23. Operating Expenditures,129,23. Operating Expenditures,129,s_23 Operating Expenditures,129,s_23 Operating Expenditures
19_a_received_from_or_guaranteed_by_cand,130,19(a) Received from or Guaranteed  by Cand.,130,20(b) Fundraising,130,20(b) Fundraising,130,20(b) Fundraising,130,20(b) Fundraising,130,24. Transfers to Other Authorized Committees,130,24. Transfers to Other Authorized Committees,130,24. Transfers to Other Authorized Committees,130,s_24 Transfers to Other Authorized Committees,130,s_24 Transfers to Other Authorized Committees
19_b_other_loans,131,19(b) Other Loans,131,20(c) Legal and Accounting,131,20(c) Legal and Accounting,131,20(c) Legal and Accounting,131,20(c) Legal and Accounting,131,25. Fundraising Disbursements,131,25. Fundraising Disbursements,131,25. Fundraising Disbursements,131,s_25 Fundraising Disbursements,131,s_25 Fundraising Dusbursements
19_c_total_loans,132,19(c) Total Loans,132,20(d) Total Offsets to Operating Expenditures,132,20(d) Total Offsets to Operating Expenditures,132,20(d) Total Offsets to Operating Expenditures,132,20(d) Total Offsets to Operating Expenditures,132,26. Exempt Legal & Accounting Disbursement,132,26. Exempt Legal and Accounting Disbursements,132,26. Exempt Legal and Accounting Disbursements,132,s_26 Exempt Legal and Accounting Disbursements,132,s_26 Exempt Legal and accounting Disbursements
20_a_operating,133,20(a) Operating,133,21. Other Receipts,133,21. Other Receipts,133,21. Other Receipts,133,21. Other Receipts,133,27(a) Made or Guaranteed by the Candidate,133,27(a) Made or Guaranteed by the Candidate,133,27(a) Made or Guaranteed by the Candidate,133,s_27(a) Made or Guaranteed by the Candidate,133,s_27(a) Made or Guranteed by the Candidate
20_b_fundraising,134,20(b) Fundraising,134,22. Total Receipts,134,22. Total Receipts,134,22. Total Receipts,134,22. Total Receipts,134,27(b) Other Repayments,134,27(b) Other Repayments,134,27(b) Other Repayments,134,s_27(b) Other Repayments,134,s_27(b) Other Repayments
20_c_legal_and_accounting,135,20(c) Legal and Accounting,135,23. Operating Expenditures,135,23. Operating Expenditures,135,23. Operating Expenditures,135,23. Operating Expenditures,135,27(c) Total Loan Repayments Made,135,27(c) Total Loan Repayments Made,135,27(c) Total Loan Repayments Made,135,s_27(c) Total Loan Repayments Made,135,s_27(c) Total Loan Repayments Made
20_d_total_offsets_to_operating_expenditures,136,20(d) Total Offsets to Operating Expenditures,136,24. Transfers to Other Authorized Committees,136,24. Transfers to Other Authorized Committees,136,24. Transfers to Other Authorized Committees,136,24. Transfers to Other Authorized Committees,136,28(a)  Individuals,136,28(a)  Individuals,136,28(a)  Individuals,136,s_28(a) Individuals,136,s_28(a) Individuals
21_other_receipts,137,21. Other Receipts,137,25. Fundraising Disbursements,137,25. Fundraising Disbursements,137,25. Fundraising Disbursements,137,25. Fundraising Disbursements,137,28(b) Political Party Committees,137,28(b) Political Party Committees,137,28(b) Political Party Committees,137,s_28(b) Political Party Committees,137,s_28(b) Political Party Committees
22_total_receipts,138,22. Total Receipts,138,26. Exempt Legal & Accounting Disbursement,138,26. Exempt Legal & Accounting Disbursement,138,26. Exempt Legal & Accounting Disbursement,138,26. Exempt Legal & Accounting Disbursement,138,28(c) Other Political Committees,138,28(c) Other Political Committees,138,28(c) Other Political Committees,138,s_28(c) Other Political Committees,138,s_28(c) Other Political Committees
23_operating_expenditures,139,23. Operating Expenditures,139,27(a) Made or Guaranteed by the Candidate,139,27(a) Made or Guaranteed by the Candidate,139,27(a) Made or Guaranteed by the Candidate,139,27(a) Made or Guaranteed by the Candidate,139,28(d) Total Contributions Refunds,139,28(d) Total Contributions Refunds,139,28(d) Total Contributions Refunds,139,s_28(d) Total Contributions Refunds,139,s_28(d) Total contributions Refunds
24_transfers_to_other_authorized_committees,140,24. Transfers to Other Authorized Committees,140,27(b) Other Repayments,140,27(b) Other Repayments,140,27(b) Other Repayments,140,27(b) Other Repayments,140,29. Other Disbursements,140,29. Other Disbursements,140,29. Other Disbursements,140,s_29 Other Disbursements,140,s_29 Other Disbursements
25_fundraising_disbursements,141,25. Fundraising Disbursements,141,27(c) Total Loan Repayments Made,141,27(c) Total Loan Repayments Made,141,27(c) Total Loan Repayments Made,141,27(c) Total Loan Repayments Made,141,30. Total Disbursements,141,30. Total Disbursements,141,30. Total Disbursements,141,s_30 Total Disbursements,141,s_30 Total Disbursements
26_exempt_legal_accounting_disbursement,142,26. Exempt Legal & Accounting Disbursement,142,28(a)  Individuals,142,28(a)  Individuals,142,28(a)  Individuals,142,28(a)  Individuals,142,ALABAMA,142,ALABAMA,142,ALABAMA,142,ALABAMA,142,ALABAMA
27_a_made_or_guaranteed_by_the_candidate,143,27(a) Made or Guaranteed by the Candidate,143,28(b) Political Party Committees,143,28(b) Political Party Committees,143,28(b) Political Party Committees,143,28(b) Political Party Committees,143,ALASKA,143,ALASKA,143,ALASKA,143,ALASKA,143,ALASKA
27_b_other_repayments,144,27(b) Other Repayments,144,28(c) Other Political Committees,144,28(c) Other Political Committees,144,28(c) Other Political Committees,144,28(c) Other Political Committees,144,ARIZONA,144,ARIZONA,144,ARIZONA,144,ARIZONA,144,ARIZONA
27_c_total_loan_repayments_made,145,27(c) Total Loan Repayments Made,145,28(d) Total Contributions Refunds,145,28(d) Total Contributions Refunds,145,28(d) Total Contributions Refunds,145,28(d) Total Contributions Refunds,145,ARKANSAS,145,ARKANSAS,145,ARKANSAS,145,ARKANSAS,145,ARKANSAS
28_a_individuals,146,28(a)  Individuals,146,29. Other Disbursements,146,29. Other Disbursements,146,29. Other Disbursements,146,29. Other Disbursements,146,CALIFORNIA,146,CALIFORNIA,146,CALIFORNIA,146,CALIFORNIA,146,CALIFORNIA
28_b_political_party_committees,147,28(b) Political Party Committees,147,30. Total Disbursements,147,30. Total Disbursements,147,30. Total Disbursements,147,30. Total Disbursements,147,COLORADO,147,COLORADO,147,COLORADO,147,COLORADO,147,COLORADO
28_c_other_political_committees,148,28(c) Other Political Committees,148,ALABAMA,148,ALABAMA,148,ALABAMA,148,ALABAMA,148,CONNECTICUT,148,CONNECTICUT,148,CONNECTICUT,148,CONNECTICUT,148,CONNECTICUT
28_d_total_contributions_refunds,149,28(d) Total Contributions Refunds,149,ALASKA,149,ALASKA,149,ALASKA,149,ALASKA,149,DELAWARE,149,DELAWARE,149,DELAWARE,149,DELAWARE,149,DELAWARE
29_other_disbursements,150,29. Other Disbursements,150,ARIZONA,150,ARIZONA,150,ARIZONA,150,ARIZONA,150,DIST OF COLUMBIA,150,DIST OF COLUMBIA,150,DIST OF COLUMBIA,150,DIST OF COLUMBIA,150,DIST OF COLUMBIA
30_total_disbursements,151,30. Total Disbursements,151,ARKANSAS,151,ARKANSAS,151,ARKANSAS,151,ARKANSAS,151,FLORIDA,151,FLORIDA,151,FLORIDA,151,FLORIDA,151,FLORIDA
alabama,152,ALABAMA,152,CALIFORNIA,152,CALIFORNIA,152,CALIFORNIA,152,CALIFORNIA,152,GEORGIA,152,GEORGIA,152,GEORGIA,152,GEORGIA,152,GEORGIA
alaska,153,ALASKA,153,COLORADO,153,COLORADO,153,COLORADO,153,COLORADO,153,HAWAII,153,HAWAII,153,HAWAII,153,HAWAII,153,HAWAII
arizona,154,ARIZONA,154,CONNECTICUT,154,CONNECTICUT,154,CONNECTICUT,154,CONNECTICUT,154,IDAHO,154,IDAHO,154,IDAHO,154,IDAHO,154,IDAHO
arkansas,155,ARKANSAS,155,DELAWARE,155,DELAWARE,155,DELAWARE,155,DELAWARE,155,ILLINOIS,155,ILLINOIS,155,ILLINOIS,155,ILLINOIS,155,ILLINOIS
california,156,CALIFORNIA,156,DIST OF COLUMBIA,156,DIST OF COLUMBIA,156,DIST OF COLUMBIA,156,DIST OF COLUMBIA,156,INDIANA,156,INDIANA,156,INDIANA,156,INDIANA,156,INDIANA
colorado,157,COLORADO,157,FLORIDA,157,FLORIDA,157,FLORIDA,157,FLORIDA,157,IOWA,157,IOWA,157,IOWA,157,IOWA,157,IOWA
connecticut,158,CONNECTICUT,158,GEORGIA,158,GEORGIA,158,GEORGIA,158,GEORGIA,158,KANSAS,158,KANSAS,158,KANSAS,158,KANSAS,158,KANSAS
delaware,159,DELAWARE,159,HAWAII,159,HAWAII,159,HAWAII,159,HAWAII,159,KENTUCKY,159,KENTUCKY,159,KENTUCKY,159,KENTUCKY,159,KENTUCKY
dist_of_columbia,160,DIST OF COLUMBIA,160,IDAHO,160,IDAHO,160,IDAHO,160,IDAHO,160,LOUISIANA,160,LOUISIANA,160,LOUISIANA,160,LOUISIANA,160,LOUISIANA
florida,161,FLORIDA,161,ILLINOIS,161,ILLINOIS,161,ILLINOIS,161,ILLINOIS,161,MAINE,161,MAINE,161,MAINE,161,MAINE,161,MAINE
georgia,162,GEORGIA,162,INDIANA,162,INDIANA,162,INDIANA,162,INDIANA,162,MARYLAND,162,MARYLAND,162,MARYLAND,162,MARYLAND,162,MARYLAND
hawaii,163,HAWAII,163,IOWA,163,IOWA,163,IOWA,163,IOWA,163,MASSACHUSETTS,163,MASSACHUSETTS,163,MASSACHUSETTS,163,MASSACHUSETTS,163,MASSACHUSETTS
idaho,164,IDAHO,164,KANSAS,164,KANSAS,164,KANSAS,164,KANSAS,164,MICHIGAN,164,MICHIGAN,164,MICHIGAN,164,MICHIGAN,164,MICHIGAN
illinois,165,ILLINOIS,165,KENTUCKY,165,KENTUCKY,165,KENTUCKY,165,KENTUCKY,165,MINNESOTA,165,MINNESOTA,165,MINNESOTA,165,MINNESOTA,165,MINNESOTA
indiana,166,INDIANA,166,LOUISIANA,166,LOUISIANA,166,LOUISIANA,166,LOUISIANA,166,MISSISSIPPI,166,MISSISSIPPI,166,MISSISSIPPI,166,MISSISSIPPI,166,MISSISSIPPI
iowa,167,IOWA,167,MAINE,167,MAINE,167,MAINE,167,MAINE,167,MISSOURI,167,MISSOURI,167,MISSOURI,167,MISSOURI,167,MISSOURI
kansas,168,KANSAS,168,MARYLAND,168,MARYLAND,168,MARYLAND,168,MARYLAND,168,MONTANA,168,MONTANA,168,MONTANA,168,MONTANA,168,MONTANA
kentucky,169,KENTUCKY,169,MASSACHUSETTS,169,MASSACHUSETTS,169,MASSACHUSETTS,169,MASSACHUSETTS,169,NEBRASKA,169,NEBRASKA,169,NEBRASKA,169,NEBRASKA,169,NEBRASKA
louisiana,170,LOUISIANA,170,MICHIGAN,170,MICHIGAN,170,MICHIGAN,170,MICHIGAN,170,NEVADA,170,NEVADA,170,NEVADA,170,NEVADA,170,NEVADA
maine,171,MAINE,171,MINNESOTA,171,MINNESOTA,171,MINNESOTA,171,MINNESOTA,171,NEW HAMPSHIRE,171,NEW HAMPSHIRE,171,NEW HAMPSHIRE,171,NEW HAMPSHIRE,171,NEW HAMPSHIRE
maryland,172,MARYLAND,172,MISSISSIPPI,172,MISSISSIPPI,172,MISSISSIPPI,172,MISSISSIPPI,172,NEW JERSEY,172,NEW JERSEY,172,NEW JERSEY,172,NEW JERSEY,172,NEW JERSEY
massachusetts,173,MASSACHUSETTS,173,MISSOURI,173,MISSOURI,173,MISSOURI,173,MISSOURI,173,NEW MEXICO,173,NEW MEXICO,173,NEW MEXICO,173,NEW MEXICO,173,NEW MEXICO
michigan,174,MICHIGAN,174,MONTANA,174,MONTANA,174,MONTANA,174,MONTANA,174,NEW YORK,174,NEW YORK,174,NEW YORK,174,NEW YORK,174,NEW YORK
minnesota,175,MINNESOTA,175,NEBRASKA,175,NEBRASKA,175,NEBRASKA,175,NEBRASKA,175,NORTH CAROLINA,175,NORTH CAROLINA,175,NORTH CAROLINA,175,NORTH CAROLINA,175,NORTH CAROLINA
mississippi,176,MISSISSIPPI,176,NEVADA,176,NEVADA,176,NEVADA,176,NEVADA,176,NORTH DAKOTA,176,NORTH DAKOTA,176,NORTH DAKOTA,176,NORTH DAKOTA,176,NORTH DAKOTA
missouri,177,MISSOURI,177,NEW HAMPSHIRE,177,NEW HAMPSHIRE,177,NEW HAMPSHIRE,177,NEW HAMPSHIRE,177,OHIO,177,OHIO,177,OHIO,177,OHIO,177,OHIO
montana,178,MONTANA,178,NEW JERSEY,178,NEW JERSEY,178,NEW JERSEY,178,NEW JERSEY,178,OKLAHOMA,178,OKLAHOMA,178,OKLAHOMA,178,OKLAHOMA,178,OKLAHOMA
nebraska,179,NEBRASKA,179,NEW MEXICO,179,NEW MEXICO,179,NEW MEXICO,179,NEW MEXICO,179,OREGON,179,OREGON,179,OREGON,179,OREGON,179,OREGON
nevada,180,NEVADA,180,NEW YORK,180,NEW YORK,180,NEW YORK,180,NEW YORK,180,PENNSYLVANIA,180,PENNSYLVANIA,180,PENNSYLVANIA,180,PENNSYLVANIA,180,PENNSYLVANIA
new_hampshire,181,NEW HAMPSHIRE,181,NORTH CAROLINA,181,NORTH CAROLINA,181,NORTH CAROLINA,181,NORTH CAROLINA,181,RHODE ISLAND,181,RHODE ISLAND,181,RHODE ISLAND,181,RHODE ISLAND,181,RHODE ISLAND
new_jersey,182,NEW JERSEY,182,NORTH DAKOTA,182,NORTH DAKOTA,182,NORTH DAKOTA,182,NORTH DAKOTA,182,SOUTH CAROLINA,182,SOUTH CAROLINA,182,SOUTH CAROLINA,182,SOUTH CAROLINA,182,SOUTH CAROLINA
new_mexico,183,NEW MEXICO,183,OHIO,183,OHIO,183,OHIO,183,OHIO,183,SOUTH DAKOTA,183,SOUTH DAKOTA,183,SOUTH DAKOTA,183,SOUTH DAKOTA,183,SOUTH DAKOTA
new_york,184,NEW YORK,184,OKLAHOMA,184,OKLAHOMA,184,OKLAHOMA,184,OKLAHOMA,184,TENNESSEE,184,TENNESSEE,184,TENNESSEE,184,TENNESSEE,184,TENNESSEE
north_carolina,185,NORTH CAROLINA,185,OREGON,185,OREGON,185,OREGON,185,OREGON,185,TEXAS,185,TEXAS,185,TEXAS,185,TEXAS,185,TEXAS
north_dakota,186,NORTH DAKOTA,186,PENNSYLVANIA,186,PENNSYLVANIA,186,PENNSYLVANIA,186,PENNSYLVANIA,186,UTAH,186,UTAH,186,UTAH,186,UTAH,186,UTAH
ohio,187,OHIO,187,RHODE ISLAND,187,RHODE ISLAND,187,RHODE ISLAND,187,RHODE ISLAND,187,VERMONT,187,VERMONT,187,VERMONT,187,VERMONT,187,VERMONT
oklahoma,188,OKLAHOMA,188,SOUTH CAROLINA,188,SOUTH CAROLINA,188,SOUTH CAROLINA,188,SOUTH CAROLINA,188,VIRGINIA,188,VIRGINIA,188,VIRGINIA,188,VIRGINIA,188,VIRGINIA
oregon,189,OREGON,189,SOUTH DAKOTA,189,SOUTH DAKOTA,189,SOUTH DAKOTA,189,SOUTH DAKOTA,189,WASHINGTON,189,WASHINGTON,189,WASHINGTON,189,WASHINGTON,189,WASHINGTON
pennsylvania,190,PENNSYLVANIA,190,TENNESSEE,190,TENNESSEE,190,TENNESSEE,190,TENNESSEE,190,WEST VIRGINIA,190,WEST VIRGINIA,190,WEST VIRGINIA,190,WEST VIRGINIA,190,WEST VIRGINIA
rhode_island,191,RHODE ISLAND,191,TEXAS,191,TEXAS,191,TEXAS,191,TEXAS,191,WISCONSIN,191,WISCONSIN,191,WISCONSIN,191,WISCONSIN,191,WISCONSIN
south_carolina,192,SOUTH CAROLINA,192,UTAH,192,UTAH,192,UTAH,192,UTAH,192,WYOMING,192,WYOMING,192,WYOMING,192,WYOMING,192,WYOMING
south_dakota,193,SOUTH DAKOTA,193,VERMONT,193,VERMONT,193,VERMONT,193,VERMONT,193,PUERTO RICO,193,PUERTO RICO,193,PUERTO RICO,193,PUERTO RICO,193,PUERTO RICO
tennessee,194,TENNESSEE,194,VIRGINIA,194,VIRGINIA,194,VIRGINIA,194,VIRGINIA,194,GUAM,194,GUAM,194,GUAM,194,GUAM,194,GUAM
texas,195,TEXAS,195,WASHINGTON,195,WASHINGTON,195,WASHINGTON,195,WASHINGTON,195,VIRGIN ISLANDS,195,VIRGIN ISLANDS,195,VIRGIN ISLANDS,195,VIRGIN ISLANDS,195,VIRGIN ISLANDS
utah,196,UTAH,196,WEST VIRGINIA,196,WEST VIRGINIA,196,WEST VIRGINIA,196,WEST VIRGINIA,196,TOTALS,196,TOTALS,196,TOTALS,196,TOTALS,196,TOTALS
vermont,197,VERMONT,197,WISCONSIN,197,WISCONSIN,197,WISCONSIN,197,WISCONSIN,197,NAME/TREASURER (as signed),197,NAME/TREASURER (as signed),197,NAME/TREASURER (as signed),197,IND/NAME (Treasurer),197,IND/NAME (TREASURER)
virginia,198,VIRGINIA,198,WYOMING,198,WYOMING,198,WYOMING,198,WYOMING,198,DATE (Signed),198,DATE (Signed),198,DATE (Signed),198,DATE (Signed),198,date (SIGNED)
washington,199,WASHINGTON,199,PUERTO RICO,199,PUERTO RICO,199,PUERTO RICO,199,PUERTO RICO,,,,,,,,,,
west_virginia,200,WEST VIRGINIA,200,GUAM,200,GUAM,200,GUAM,200,GUAM,,,,,,,,,,
wisconsin,201,WISCONSIN,201,VIRGIN ISLANDS,201,VIRGIN ISLANDS,201,VIRGIN ISLANDS,201,VIRGIN ISLANDS,,,,,,,,,,
wyoming,202,WYOMING,202,TOTALS,202,TOTALS,202,TOTALS,202,TOTALS,,,,,,,,,,
puerto_rico,203,PUERTO RICO,,,,,,,,,,,,,,,,,,
guam,204,GUAM,,,,,,,,,,,,,,,,,,
virgin_islands,205,VIRGIN ISLANDS,,,,,,,,,,,,,,,,,,
totals,206,TOTALS,,,,,,,,,,,,,,,,,,
